model,prompt,story_id,topic_switch_rate,n_sentences
human,large,723,0.3314383762749529,8.44
human,large,733,0.2604527835774474,6.0
human,large,948,0.3922425981392671,5.0
human,large,1111,0.39340491770482927,5.0
human,large,1201,0.3896760277727486,5.0
human,large,1214,0.30285439457124635,6.0
human,large,1467,0.30233735946032786,5.0
human,large,2400,0.41786239646134726,5.0
human,large,2702,0.030574672215253406,6.0
human,large,2722,0.3591606478431952,5.0
human,large,2926,0.3436009151249583,5.0
human,large,3230,0.3877995867497535,5.0
human,large,3295,0.4391896245430038,5.0
human,large,3761,0.21495516471017329,5.0
human,large,3891,0.2506017605754368,5.0
human,large,4047,0.48539403790036884,8.0
human,large,4173,0.5376169518838617,8.0
human,large,4797,0.17445225080069787,5.0
human,large,5047,0.450577457116544,5.0
human,large,5062,0.33127419052358265,5.0
human,large,5201,0.4038615901304185,9.0
human,large,5265,0.37638117690558703,5.0
human,large,5349,0.611719747122803,5.705882352941177
human,large,5540,0.26709329473768434,5.0
human,large,5721,0.22186249492805707,5.0
human,large,6111,0.5255596779353404,5.0
human,large,6215,0.4809807516559189,6.7
human,large,6729,0.3810192740057333,9.0
human,large,6847,0.030324253954811253,5.0
human,large,6878,0.32841278972646937,5.0
human,large,6921,0.5201875926030073,7.0
human,large,7065,0.3555239068720696,5.0
human,large,7150,0.5155943832107458,5.0
human,large,7195,0.2356508035500744,5.0
human,large,7596,0.2956151025000328,6.0
human,large,7702,0.15468248853101013,5.0
human,large,8061,0.42254904958160083,8.0
human,large,8085,0.32388958332068996,6.0
human,large,8154,0.5505372415477393,6.0
human,large,8551,0.6105057668855758,7.285714285714286
human,large,9334,0.16312477629161054,6.0
human,large,9418,0.38479373190182103,5.705882352941177
human,large,9914,0.08783780543175902,5.0
human,large,10408,0.41429548144815714,5.705882352941177
human,large,10486,0.2772753922645278,6.0
human,large,10499,0.32405104624897246,5.0
human,large,11260,0.13273372169785463,5.0
human,large,11340,0.30431390428960753,5.0
human,large,11457,0.12898736049147405,5.0
human,large,11541,0.5064232679004023,5.0
human,large,11543,0.48396799791598155,5.0
human,large,11678,0.4041979785919814,5.0
human,large,11719,0.06472096929103925,5.0
human,large,12358,0.5403704582413881,5.0
human,large,12423,0.24014254561006557,6.0
human,large,13596,0.10940901332804893,5.0
human,large,13683,0.29712736413205515,6.0
human,original,345,0.42675083223480126,5.0
human,original,515,0.15428872244930447,10.0
human,original,721,0.3214011459686413,5.0
human,original,723,0.36680358434317456,10.0
human,original,733,0.29488146019982775,6.0
human,original,948,0.5758728877122875,5.0
human,original,1111,0.4497014627244976,5.0
human,original,1201,0.3618298336474743,5.0
human,original,1214,0.4245229761042884,6.0
human,original,1467,0.28358387780436856,5.0
human,original,2400,0.47800231221372663,5.0
human,original,2702,0.19743047574663547,6.0
human,original,2722,0.3230170080475239,5.0
human,original,2926,0.6001161337980399,5.0
human,original,3230,0.6307363726641863,5.0
human,original,3295,0.4695324898920748,5.0
human,original,3761,0.5037555712643123,5.0
human,original,3891,0.37409384435721277,5.0
human,original,4047,0.3231410896323975,8.0
human,original,4173,0.12327050182890018,8.0
human,original,4797,0.4386825120449198,5.0
human,original,5047,0.6796510974250956,5.0
human,original,5062,0.24989360369378133,5.0
human,original,5201,0.5239465169682319,10.0
human,original,5265,0.519150066872979,5.0
human,original,5349,0.6820328535438752,6.0
human,original,5540,0.4838152293477463,5.0
human,original,5721,0.4010792187328069,5.0
human,original,6111,0.5165029976522535,5.0
human,original,6215,0.6571536124811856,7.0
human,original,6729,0.4263408993701748,9.0
human,original,6847,0.36754832963554823,5.0
human,original,6878,0.5918732661389455,5.0
human,original,6921,0.3428154274393591,7.0
human,original,7065,0.5574580105211657,5.0
human,original,7150,0.5060484793653994,5.0
human,original,7195,0.5141513652810346,5.0
human,original,7596,0.3942991106311304,6.0
human,original,7702,0.38400529747165624,5.0
human,original,8061,0.48551204641642826,8.0
