model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
gpt4o,large,story_12423,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,large,story_13596,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_13683,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,large,story_1467,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,large,story_2400,3.0,11.0,0.0,0.0,0.26616073850966504
gpt4o,large,story_2702,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,large,story_2722,4.0,10.0,0.0,0.0,0.3799489622552249
gpt4o,large,story_2926,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_3230,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,story_3295,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_345,3.0,6.0,0.0,0.0,0.46211715726000974
gpt4o,large,story_3761,4.0,7.0,0.0,0.0,0.5164076551851798
gpt4o,large,story_3891,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_4047,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,story_4173,3.0,15.0,0.0,0.0,0.197375320224904
gpt4o,large,story_4797,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_5047,2.0,9.0,0.0,0.0,0.2186350836871213
gpt4o,large,story_5062,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,large,story_515,2.0,9.0,0.0,0.0,0.2186350836871213
gpt4o,large,story_5201,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_5265,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_5349,2.0,6.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_5540,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,large,story_5721,4.0,9.0,0.0,0.0,0.4173216500588711
gpt4o,large,story_6111,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,large,story_6215,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,large,story_6729,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,large,story_6847,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_6878,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,large,story_6921,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,large,story_7065,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,story_7150,4.0,14.0,0.0,0.0,0.27818549032570244
gpt4o,large,story_7195,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_721,4.0,10.0,0.0,0.0,0.3799489622552249
gpt4o,large,story_723,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,large,story_733,4.0,9.0,0.0,0.0,0.4173216500588711
gpt4o,large,story_7596,2.0,11.0,0.0,0.0,0.17984081852510791
gpt4o,large,story_7702,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_8061,4.0,10.0,0.0,0.0,0.3799489622552249
gpt4o,large,story_8085,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,large,story_8154,3.0,13.0,0.0,0.0,0.22675815692505177
gpt4o,large,story_8551,3.0,14.0,0.0,0.0,0.21106497444117137
gpt4o,large,story_9334,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,story_9418,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,large,story_948,4.0,9.0,0.0,0.0,0.4173216500588711
gpt4o,large,story_9914,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,original,story_10408,3.0,15.0,0.0,0.0,0.197375320224904
gpt4o,original,story_10486,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_10499,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_1111,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,original,story_11260,3.0,13.0,0.0,0.0,0.22675815692505177
gpt4o,original,story_11340,5.0,12.0,0.0,0.0,0.39411856793081457
gpt4o,original,story_11457,4.0,10.0,0.0,0.0,0.3799489622552249
gpt4o,original,story_11541,4.0,12.0,0.0,0.0,0.32151273753163434
gpt4o,original,story_11543,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,original,story_11678,4.0,10.0,0.0,0.0,0.3799489622552249
gpt4o,original,story_11719,4.0,9.0,0.0,0.0,0.4173216500588711
gpt4o,original,story_1201,3.0,11.0,0.0,0.0,0.26616073850966504
gpt4o,original,story_1214,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,original,story_12358,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,original,story_12423,4.0,9.0,0.0,0.0,0.4173216500588711
gpt4o,original,story_13596,3.0,13.0,0.0,0.0,0.22675815692505177
gpt4o,original,story_13683,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,original,story_1467,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,original,story_2400,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,original,story_2702,5.0,11.0,0.0,0.0,0.42562819723499473
gpt4o,original,story_2722,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,original,story_2926,3.0,13.0,0.0,0.0,0.22675815692505177
