model,prompt,seed,doc,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
human,large,seed42,story_10486,3,5,0,0.0,0.5370495669980352
human,large,seed42,story_10499,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_1111,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_11260,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_11340,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_11457,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_11541,4,4,0,0.0,0.7615941559557649
human,large,seed42,story_11543,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_11678,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_11719,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_1201,3,4,0,0.0,0.6351489523872873
human,large,seed42,story_1214,1,5,0,0.0,0.197375320224904
human,large,seed42,story_12358,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_12423,3,5,0,0.0,0.5370495669980352
human,large,seed42,story_13596,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_13683,2,5,0,0.0,0.3799489622552249
human,large,seed42,story_1467,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_2400,3,4,0,0.0,0.6351489523872873
human,large,seed42,story_2702,1,5,0,0.0,0.197375320224904
human,large,seed42,story_2722,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_2926,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_3230,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_3295,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_345,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_3761,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_3891,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_4047,2,7,0,0.0,0.27818549032570244
human,large,seed42,story_4173,2,7,0,0.0,0.27818549032570244
human,large,seed42,story_4797,3,4,0,0.0,0.6351489523872873
human,large,seed42,story_5047,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_5062,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_515,3,8,0,0.0,0.35835739835078595
human,large,seed42,story_5201,5,8,0,0.0,0.5545997223493823
human,large,seed42,story_5265,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_5349,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_5540,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_5721,4,4,0,0.0,0.7615941559557649
human,large,seed42,story_6111,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_6215,4,5,0,0.0,0.664036770267849
human,large,seed42,story_6729,4,8,0,0.0,0.46211715726000974
human,large,seed42,story_6847,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_6878,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_6921,1,6,0,0.0,0.16514041292462933
human,large,seed42,story_7065,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_7150,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_7195,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_721,1,4,0,0.0,0.24491866240370913
human,large,seed42,story_723,2,6,0,0.0,0.32151273753163434
human,large,seed42,story_733,1,5,0,0.0,0.197375320224904
human,large,seed42,story_7596,2,5,0,0.0,0.3799489622552249
human,large,seed42,story_7702,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_8061,5,7,0,0.0,0.6133572603953826
human,large,seed42,story_8085,2,5,0,0.0,0.3799489622552249
human,large,seed42,story_8154,1,5,0,0.0,0.197375320224904
human,large,seed42,story_8551,3,4,0,0.0,0.6351489523872873
human,large,seed42,story_9334,1,5,0,0.0,0.197375320224904
