model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
human,large,5721,3.0,4.0,0.0,0.0,0.619620088534354
human,large,6111,2.3333333333333335,4.0,0.0,0.0,0.505072189059428
human,large,6215,2.6666666666666665,5.666666666666667,0.0,0.0,0.4356874151103726
human,large,6729,4.333333333333333,8.0,0.0,0.0,0.485207835999361
human,large,6847,2.0,4.0,0.0,0.0,0.4473949240170021
human,large,6878,1.0,4.0,0.0,0.0,0.2449186624037091
human,large,6921,1.3333333333333333,6.0,0.0,0.0,0.21726452112696434
human,large,7065,1.6666666666666667,4.0,0.0,0.0,0.38971765897457616
human,large,7150,2.6666666666666665,4.0,0.0,0.0,0.5774716873448614
human,large,721,1.6666666666666667,4.0,0.0,0.0,0.38971765897457616
human,large,723,2.6666666666666665,7.333333333333333,0.0,0.0,0.34607584474440206
human,large,733,2.0,5.0,0.0,0.0,0.3714579498260547
human,large,7596,1.3333333333333333,5.0,0.0,0.0,0.2582332009016776
human,large,7702,2.0,4.0,0.0,0.0,0.46211715726000974
human,large,8061,3.0,7.0,0.0,0.0,0.3864590646400581
human,large,8085,2.3333333333333335,5.0,0.0,0.0,0.4137870175826593
human,large,8154,1.6666666666666667,5.0,0.0,0.0,0.3190910815784513
human,large,8551,3.0,6.0,0.0,0.0,0.4765806992993899
human,large,9334,1.6666666666666667,5.0,0.0,0.0,0.31060006914928107
human,large,9418,2.0,4.666666666666667,0.0,0.0,0.4041577449558054
human,large,948,2.3333333333333335,4.0,0.0,0.0,0.5197944223024357
human,large,9914,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,10408,2.0,5.0,0.0,0.0,0.3799489622552249
human,original,10486,3.0,5.0,0.0,0.0,0.5370495669980352
human,original,1111,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,11260,4.0,4.0,0.0,0.0,0.7615941559557649
human,original,11340,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,11457,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,11541,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,11543,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,11678,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,11719,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,1201,4.0,4.0,0.0,0.0,0.7615941559557649
human,original,12358,1.0,4.0,0.0,0.0,0.24491866240370913
human,original,12423,2.0,5.0,0.0,0.0,0.3799489622552249
human,original,13596,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,13683,1.0,4.0,0.0,0.0,0.24491866240370913
human,original,1467,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,2400,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,2702,1.0,5.0,0.0,0.0,0.197375320224904
human,original,2722,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,2926,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,3230,1.0,4.0,0.0,0.0,0.24491866240370913
human,original,3295,1.0,4.0,0.0,0.0,0.24491866240370913
human,original,345,4.0,4.0,0.0,0.0,0.7615941559557649
human,original,3891,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,4047,2.0,7.0,0.0,0.0,0.27818549032570244
human,original,4173,4.0,7.0,0.0,0.0,0.5164076551851798
human,original,4797,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,5062,1.0,4.0,0.0,0.0,0.24491866240370913
