model,prompt,story_id,coref_ratio,discourse_diversity,char_coherence,topic_switch_rate,mci_tanh_mcc_over_gv,ncs_arithmetic,ncs_geometric
claude45,large,7596,0.8397097927455088,0.3799489622552249,0.5707715468948589,0.0886168114289872,0.6454724345821258,0.5049039095813411,0.4013674405784914
claude45,large,11260,0.5441934667013559,0.4621171572600097,0.5415534405514462,0.0928689115518993,0.6871348126598407,0.4655735577449104,0.3870898862667303
claude45,large,723,0.5657587616675981,0.2449186624037091,0.4621171533277711,0.4030093398767711,0.71901861497073,0.47896450644931593,0.45049721525728625
claude45,large,6729,0.2887943717865695,0.3583573983507859,0.0,0.2067208691741403,0.5939959343326067,0.2895737147288205,0.010490944514022752
claude45,large,9334,0.6724280447565557,0.5370495669980352,0.4621171523447114,0.0451189392678079,0.6166276343553946,0.46666826754450097,0.3414749529727611
claude45,large,11719,0.7694395460499163,0.6351489523872873,0.3215127335466141,0.0292288244230932,0.7744352194027431,0.5059530551619307,0.32374940453976603
claude45,large,6111,0.9464326784672276,0.2449186624037091,0.7615941517560215,0.2665146242223483,0.5901306286268398,0.5619181490952292,0.4883159294676408
claude45,large,4173,0.5634173782332563,0.4041267397578591,0.537049561020782,0.3123877489616707,0.4283939596174101,0.4490750775181957,0.43931892768631037
claude45,large,2400,0.6345900192040864,0.6351489523872873,0.4611752571647926,0.2669987251540021,0.7098930305102197,0.5415611968840776,0.5121384627189892
claude45,large,2722,0.599833913905728,0.4621171572600097,0.0,0.0500366634157687,0.0,0.22239754691630131,0.0002681725434514206
claude45,large,5062,0.5133522206104253,0.4621171572600097,0.0,0.2579573400959954,0.0,0.2466853435932861,0.0003608636126435692
claude45,large,9914,0.2544404198703878,0.2449186624037091,0.0,0.0465853224512462,0.532364856554482,0.21566185225596501,0.0068835634603063274
claude45,large,515,0.5312857719178643,0.2449186624037091,0.3765883018997755,0.2419945959170687,0.6999166493516763,0.4189407962980187,0.3835427595876068
claude45,large,1467,0.6663867063780647,0.4621171572600097,0.380797073778139,0.3150725914818494,0.8633886204928746,0.5375524298781874,0.5020625208795907
claude45,large,13683,0.8202838816974648,0.5370495669980352,0.5415534407532758,0.0819938399354295,0.4624335770657896,0.4886628612899989,0.39020255396220205
claude45,large,6921,0.7608944773789501,0.4621171572600097,0.1474313255990181,0.3222105383448064,0.7625176914845534,0.49103423801346746,0.4178411468363904
claude45,large,11543,0.5039831266785365,0.6351489523872873,0.0,0.1345320132748687,0.0,0.25473281846813844,0.00033637480140824273
claude45,large,7065,0.7607546086956449,0.4621171572600097,0.5415534405514462,0.459337043086279,0.7097180844265226,0.5866960668039805,0.5735497265401693
claude45,large,1111,0.9576003809558136,0.6351489523872873,0.0,0.1180427569959207,0.0,0.34215841806780434,0.0003725802739926369
claude45,large,948,0.388124846188255,0.6351489523872873,0.3610356242344685,0.0397099164664667,0.5092411812947646,0.38665210411424844,0.28251658330581086
claude45,large,9418,0.4761108750200684,0.5370495669980352,0.065791772767606,0.460204109630366,0.7396423407206424,0.45575973302734357,0.356101073807549
claude45,large,3295,0.5042127000567824,0.4621171572600097,0.6617684772137847,0.2044346054436407,0.8201562205190932,0.5305378320986621,0.4813983520698737
claude45,large,7150,0.3698435262826614,0.6351489523872873,0.0,0.1281636669660481,0.5566370615015025,0.3379586414274999,0.01108781936820442
claude45,large,345,0.2446838791039907,0.4621171572600097,0.7615941475562781,0.1005331869053659,0.4686131671540566,0.40750830759594014,0.33238469201921594
claude45,large,11678,0.3182245223383665,0.4621171572600097,0.0,0.1859283116235493,0.7291270601555664,0.33907941027549837,0.01147960398030049
claude45,large,721,0.6127212478031274,0.2449186624037091,0.2538647130522638,0.4793964440334822,0.6292874089935223,0.44403769525722103,0.4093419116244543
claude45,large,733,0.8038014861305588,0.5370495669980352,0.6493218540924875,0.5346313520728011,0.7492795114492393,0.6548167541486245,0.6457498322900206
claude45,large,11457,0.70280303366564,0.2449186624037091,0.0,0.6847424386702256,0.0,0.3264928269479149,0.0004114116223979358
claude45,large,12358,0.6375439926172,0.2449186624037091,0.0,0.5973933786930582,0.0,0.2959712067427934,0.0003926074122878281
claude45,large,13596,0.9983304048763796,0.6351489523872873,0.7615941517560215,0.1107815926655666,0.8061048890346301,0.6623919981439771,0.5332692494588996
claude45,large,5721,0.3980657062931662,0.2449186624037091,0.0,0.1083804964507854,0.0,0.15027297302953213,0.0002539718424581733
claude45,large,5201,0.6175410392444916,0.2449186624037091,0.0967029624676964,0.4770195044837056,0.7647208895239134,0.44018061162470323,0.3511020226929361
claude45,large,8085,0.2709536488462202,0.3799489622552249,0.0,0.2224795637096443,0.1258086393330801,0.19983816282883388,0.007796939915964585
claude45,large,2702,0.8329225598595321,0.5370495669980352,0.3807970753530428,0.0204478691811988,0.2635201319631708,0.406947440670996,0.24691924605008927
claude45,large,6878,0.8329225598595321,0.4621171572600097,0.0,0.4199012241541431,0.858119770655973,0.5146121423859316,0.016920389629577755
claude45,large,1201,0.6698515564701782,0.4621171572600097,0.0,0.5623626342158426,0.0,0.3388662695892061,0.0004447842792188338
claude45,large,5265,0.643818965886857,0.4621171572600097,0.2310585766638855,0.3985947827764954,0.3288271211734849,0.4128833207521465,0.3898948066235755
claude45,large,5349,0.6724280447565557,0.3799489622552249,0.0,0.6273065922706613,0.8104507154275103,0.49802686294199044,0.016699963213474545
claude45,large,6215,0.3271741264131678,0.3215127375316343,0.3807970716782674,0.5872737921642821,0.6311892371531134,0.44958939298809303,0.4308580370121844
claude45,large,8154,0.3796069967527397,0.3799489622552249,0.3807970701033636,0.494236704235809,0.7942750172249275,0.48577295011441296,0.4642285041544768
claude45,large,12423,0.4132800250613453,0.3799489622552249,0.098687659151409,0.1825157947036298,0.4530405003036105,0.3054945882950439,0.26395750909461063
claude45,large,4797,0.3001553340369296,0.6351489523872873,0.0,0.0203908766772967,0.4725111991496946,0.2856412724502416,0.007125477612479882
claude45,large,4047,0.8038014861305588,0.2781854903257024,0.0,0.2602933355889192,0.0,0.2684560624090361,0.0003572640137678787
claude45,large,11541,0.3113334492091701,0.4621171572600097,0.0,0.1642238417887598,0.0,0.1875348896515879,0.00029832031349062195
claude45,large,3230,0.5731018606970495,0.4621171572600097,0.380797073778139,0.1192459336861178,0.4027673898681593,0.387605883057895,0.3443777575182568
claude45,large,10486,0.5647805343680173,0.197375320224904,0.7615941349570481,0.2744804072345482,0.6946749701762491,0.4985810733921534,0.4383669899122792
gpt4o,large,10486,0.5039831266785365,0.2449186624037091,0.2685247813642843,0.4817969338457993,0.7616997552413014,0.45218465190672613,0.41401304982745063
gpt4o,large,7065,0.8640796744146161,0.2449186624037091,0.6118556525418963,0.584619198457111,0.8508633345833939,0.6312673044801452,0.577818595065477
gpt4o,large,3230,0.808330888044811,0.2449186624037091,0.5032564052048896,0.4156151660831463,0.4565979874265634,0.4857438218326239,0.4521943786185526
gpt4o,large,345,0.760544847685396,0.4621171572600097,0.7615941510560642,0.3808352640132005,0.7936666663180473,0.6317516172665435,0.604776867389757
gpt4o,large,5062,0.9981133843224368,0.4621171572600097,0.0,0.3107742501357246,0.0,0.3542009583436342,0.0004278341088128865
gpt4o,large,723,0.9706895565769862,0.2449186624037091,0.4041267356598269,0.4280511672382642,0.7373597368170942,0.5570291717391761,0.49700298213555144
gpt4o,large,12423,0.6849199781029739,0.3799489622552249,0.4736955352015259,0.2628539943462388,0.8621603358980732,0.5327157611608073,0.48891505586763484
gpt4o,large,13683,0.6344038707697881,0.3799489622552249,0.7054580023992866,0.1460256966484476,0.6468392039519082,0.5025351472049311,0.4376808916783194
gpt4o,large,6215,0.616018324954511,0.1651404129246293,0.3918149429522605,0.4665648154486194,0.8834399010032782,0.5045956794566597,0.4396665335225983
gpt4o,large,6878,0.808330888044811,0.4621171572600097,0.0,0.5048611039589204,0.8208921015077411,0.5192402501542965,0.017296564756696144
gpt4o,large,9418,0.68151993687585,0.3799489622552249,0.3330555716910934,0.3152732280003361,0.8690344103170207,0.515766421827905,0.4728124779405556
gpt4o,large,8154,0.4270500334583488,0.197375320224904,0.761594144056492,0.5504684684440864,0.976293696411388,0.5825563325190438,0.5099899728151993
gpt4o,large,1111,0.616018324954511,0.4621171572600097,0.0,0.2082086988604996,0.0,0.25726883621500407,0.0003585658513638452
gpt4o,large,8551,0.616018324954511,0.3215127375316343,0.0,0.5260931240060825,0.0,0.29272483729844556,0.00040139401611519974
gpt4o,large,13596,0.9810797174732148,0.2449186624037091,0.7615941517560215,0.424526726534096,0.8120277182177699,0.6448293952769623,0.5754202511047282
gpt4o,large,3295,0.7250275395140692,0.4621171572600097,0.7615941461563637,0.495793841679664,0.9912688430940976,0.6871603055408408,0.6601833427589815
gpt4o,large,6921,0.5158096264117492,0.1651404129246293,0.4879280346451317,0.2418216061432641,0.8481541762817822,0.4517707712813113,0.3855970572051271
gpt4o,large,2926,0.599833913905728,0.4621171572600097,0.3807970758780107,0.2290854781827846,0.7583462018558578,0.4860359654164782,0.4494365298491699
gpt4o,large,8085,0.743420937403751,0.3799489622552249,0.2397423659398061,0.2524197618291476,0.742860511602988,0.4716785078061836,0.41758712914438306
gpt4o,large,2400,0.500695837915262,0.4621171572600097,0.4179239377425684,0.245821347583566,0.955444651024192,0.5164005863051196,0.4690830066683664
gpt4o,large,11260,0.3646956596528863,0.6351489523872873,0.6149003400865612,0.0311765283784952,0.951534722202715,0.519491240541589,0.33509866335312727
gpt4o,large,948,0.500695837915262,0.4621171572600097,0.3863060065077942,0.0375589993343423,0.7674710816339176,0.4308298165302652,0.30353357974906603
gpt4o,large,4047,0.7055382777228413,0.2781854903257024,0.0,0.2879828019783857,0.0,0.2543413140053859,0.00035517658639884
gpt4o,large,6111,0.500695837915262,0.2449186624037091,0.4079037683612642,0.5389393874929532,0.8374069299149636,0.5059729172176304,0.46851771939579384
gpt4o,large,2722,0.4371630286577889,0.2449186624037091,0.0,0.1668587821134253,0.0,0.16978809463498465,0.0002820998697381151
gpt4o,large,5721,0.4367153108489706,0.4621171572600097,0.0,0.1473584389956561,0.0,0.2092381814209273,0.0003123669768886372
gpt4o,large,11678,0.4534996043235448,0.4621171572600097,0.3807970751780535,0.3670314200465373,0.8157351391495103,0.4958360791915311,0.4738654165496425
gpt4o,large,721,0.3304388796017357,0.4621171572600097,0.1903985347891978,0.5141201785565018,0.8591929511142329,0.4712535402643356,0.4185356440040726
gpt4o,large,1201,0.9138494194403484,0.6351489523872873,0.0,0.6350350629114655,0.0,0.4368066869478202,0.0005167846316919707
gpt4o,large,2702,0.9968991101462736,0.197375320224904,0.7615941507060856,0.1225488582665931,0.2623146791649274,0.46814642370175674,0.34400117086062976
gpt4o,large,11457,0.4129162032860138,0.4621171572600097,0.0,0.7296499907859474,0.0,0.32093667026639416,0.00042534930266034324
gpt4o,large,12358,0.8288773922429453,0.4621171572600097,0.0,0.628377505404244,0.0,0.3838744109814398,0.00047456161548619947
gpt4o,large,7150,0.743420937403751,0.6351489523872873,0.1071709111822047,0.2816613234810278,0.8022295756632081,0.5139263400234958,0.4089240479456142
gpt4o,large,7596,0.7770670098724379,0.197375320224904,0.2310585761723557,0.3920860772873782,0.96036075961721,0.5115895486348572,0.4217526890574354
gpt4o,large,5265,0.9081674793916036,0.2449186624037091,0.6118556518419391,0.0170058965949089,0.3049154456476611,0.41737262717596435,0.23427352474568403
gpt4o,large,3891,0.5820499548410306,0.6351489523872873,0.6118556462422813,0.3351819761761557,0.8310092695749828,0.5990491598443476,0.5752733780137199
gpt4o,large,9914,0.6344038707697881,0.4621171572600097,0.2310585766638855,0.0892397623696201,0.6161256858359218,0.40658901057984503,0.326748471219157
gpt4o,large,11340,0.9438141852691168,0.4621171572600097,0.4621171533277711,0.1227260789534799,0.3175212950386826,0.46165917396981204,0.3793325358350507
gpt4o,large,6847,0.6175410392444916,0.4621171572600097,0.7615941456897254,0.2515448446277638,0.8579904047278517,0.5901575183099684,0.5423103364278384
gpt4o,large,7702,0.6175410392444916,0.6351489523872873,0.3807970695783957,0.0959114888788459,0.5087759340366362,0.44763489682513136,0.37370288965185744
gpt4o,large,11541,0.8031484075308158,0.4621171572600097,0.0,0.1732889633252119,0.0,0.2877109056232075,0.00036447166254944104
gpt4o,large,4173,0.3360654199393775,0.2781854903257024,0.6721885333846535,0.1850633460680915,0.7851086063668291,0.45132227921693086,0.39093083101993176
gpt4o,large,10408,0.6631431205938949,0.3799489622552249,0.7615941454564062,0.2523952304031421,0.7872982141837613,0.5688759345784858,0.5203017862945206
gpt4o,large,9334,0.6344038707697881,0.197375320224904,0.7615941517560215,0.0298607975144107,0.7242846454481424,0.46950375714265336,0.29032111814457423
gpt4o,large,8061,0.8202838816974648,0.2781854903257024,0.2202604134863187,0.4243846059317417,0.8756480513942142,0.5237524885670883,0.4510917383139858
gpt4o,large,5349,0.4393592448596797,0.5370495669980352,0.380797067478524,0.5431587573059209,0.7901266333304091,0.5380982539945138,0.5214711099065176
gpt4o,large,4797,0.2910383216907168,0.4621171572600097,0.0,0.0055004225924437,0.8165851821799796,0.3150482167446299,0.005704533414238214
gpt4o,large,5201,0.7250275395140692,0.3583573983507859,0.0967029624676964,0.5128850251491492,0.9137042093291752,0.5213354269621752,0.41132705447151263
gpt4o,large,515,0.5158096264117492,0.3583573983507859,0.3776252237351733,0.208321713706632,0.7304019004609128,0.4381031725330507,0.40293283666990387
gpt4o,large,11719,0.8790497469034001,0.4621171572600097,0.6118556518419391,0.0499053548051151,0.7544624422559091,0.5514780706132746,0.3928618721054631
gpt4o,large,1467,0.808330888044811,0.2449186624037091,0.3807970751780535,0.3993036868305384,0.8954438460302051,0.5457588316974634,0.4854329778530556
gpt4o,large,733,0.6663867063780647,0.197375320224904,0.49958335753664,0.2585125949454908,0.8874423543673492,0.5018600666904898,0.43216521803006663
