model,prompt,story_id,coref_ratio,discourse_diversity,char_coherence,topic_switch_rate,mci_tanh_mcc_over_gv,ncs_arithmetic,ncs_geometric
human,large,9914,0.6489044111719074,0.6351489523872873,0.5711956106672086,0.087837805431759,0.4505058171475258,0.4787185193611377,0.3925044878819804
human,large,10408,0.5950030102798505,0.4597052288377566,0.5733550806373102,0.4142954814481571,0.8253065206963954,0.5735330643798939,0.5570184199083499
human,large,10486,0.597914064377961,0.5370495669980352,0.24234134738163454,0.2772753922645278,0.6775683285314771,0.4664297399107271,0.42952557500623
human,large,10499,0.688567681960039,0.5197944223024357,0.40110730802161526,0.3240510462489724,0.373646022007978,0.46143329610820805,0.4446543376452886
human,large,11260,0.7995749333692,0.3173181606891426,0.7615941514449295,0.1327337216978546,0.9628202076233786,0.5948082349649011,0.47700270943617573
human,large,11340,0.617739737788901,0.3749954257315686,0.7615941512893833,0.3043139042896075,0.6109601582555371,0.5339206754709995,0.5048681436670575
human,large,11457,0.4145815191189553,0.5774716873448614,0.0,0.128987360491474,0.0,0.22420811339105814,0.00031472958452547525
human,large,11541,0.7545242518656355,0.4895433252064946,0.0,0.5064232679004023,0.0,0.3500981689945065,0.00045122754414033984
human,large,11543,0.5602854035976305,0.3897176589745761,0.0,0.4839679979159815,0.0,0.2867942120976376,0.00040252718239892725
human,large,11678,0.668096731156172,0.4621171572600097,0.3807970748280749,0.4041979785919814,0.4978760519972567,0.48261699876669895,0.4729335161171379
human,large,11719,0.8435900485774569,0.3173181606891426,0.7615941515227025,0.0647209692910392,0.9316664017846108,0.5837779463729904,0.4148882199460571
human,large,12358,0.6413852057266521,0.4621171572600097,0.0,0.5403704582413881,0.0,0.32877456424561,0.0004374339947448442
human,large,12423,0.662748747296209,0.310600069149281,0.610422129308744,0.2401425456100655,0.6885139350477929,0.5024854852824184,0.4608000589020796
human,large,13596,0.8737394179047532,0.3173181606891426,0.7615941517560215,0.1094090133280489,0.807019282293604,0.573816005194314,0.45092831639829317
human,large,13683,0.6751457740119037,0.3190910815784513,0.343372977619274,0.2971273641320551,0.8104292184787868,0.48903328316409417,0.4468350432073288
claude45,original,5349,0.3182245223383665,0.4621171572600097,0.38079707377813904,0.6975679846154752,0.7204869896811634,0.5158387455346307,0.4896417187036387
claude45,original,6921,0.4855912763300095,0.3215127375316343,0.30891151402023986,0.2697758788175709,0.6999139287138414,0.41714106708265913,0.3907240944132743
