model,prompt,story_id,character_name,CharTr,CharRe,char_coherence
human,large,7065,matt,0.75,0.9166666666666666,0.5695071706065564
human,large,7150,david,0.3333333333333333,0.3333333333333333,0.19074957349425634
human,large,7150,eric,0.75,0.75,0.5285356862196807
human,large,7150,mark,0.25,0.25,0.16994332457841885
human,large,7195,gerard,0.75,0.9166666666666666,0.5778470956503438
human,large,7195,jennifer,0.4166666666666667,0.75,0.2934987911838452
human,large,7596,kevin,0.7333333333333334,0.7333333333333334,0.4950474043664963
human,large,7596,william,0.2,0.8,0.15475346060631925
human,large,7702,jude,0.75,0.75,0.5098299737352565
human,large,7702,nicole,0.5,0.5,0.2449186624037091
human,large,8061,ellen,0.3333333333333333,0.9047619047619048,0.2987604232931226
human,large,8061,leonardo,0.38095238095238093,0.4761904761904762,0.21724656479211182
human,large,8061,robert,0.4761904761904762,0.8095238095238096,0.35283320093451004
human,large,8085,brooke,0.2,0.4,0.15475346060631925
human,large,8085,linda,0.4666666666666666,0.6,0.27112315321521946
human,large,8085,richard,0.3,0.5,0.2685247834990176
human,large,8085,sam,0.3333333333333333,0.4666666666666666,0.20566897587345412
human,large,8154,angelina,0.39999999999999997,0.5333333333333333,0.20776327898913524
human,large,8154,fisher,0.20000000000000004,0.3333333333333333,0.06646155305223768
human,large,8154,jonny,0.2,0.4,0.07932425214874947
human,large,8154,matthew,0.4,0.4,0.15864850429749894
human,large,8551,__NO_ANNOTATION__,,,
human,large,9334,harrison,1.0,1.0,0.7615941559557649
human,large,9418,daniel,0.5666666666666667,0.8333333333333334,0.43967259879992654
human,large,9418,gary,0.1,0.4,0.01998934015558179
human,large,9418,john,0.6,0.6,0.3452140341355209
human,large,9914,matthew,0.125,0.125,0.031209373373756257
human,large,9914,reese,1.0,1.0,0.7615941559557649
human,large,10408,ashton,0.3333333333333333,0.5333333333333333,0.24118268571457468
human,large,10408,greta,0.5,0.6666666666666666,0.32199323189767654
human,large,10408,jake,0.43333333333333335,0.7999999999999999,0.3335715412709112
human,large,10408,natalie,0.8,0.8,0.5648995528462251
human,large,10486,robert,0.0,0.13333333333333333,0.0
human,large,10486,val,0.5333333333333333,1.0,0.48468269875043174
human,large,10499,al,0.5833333333333334,0.75,0.4287100199877624
human,large,10499,robert,0.625,0.875,0.4734636779319522
human,large,10499,val,0.0,0.5,0.0
human,large,11260,colin,0.8333333333333334,0.8333333333333334,0.5937513678087593
human,large,11260,jamie,1.0,1.0,0.7615941559557649
human,large,11260,john,1.0,1.0,0.7615941559557649
human,large,11340,brad,0.8333333333333334,0.8333333333333334,0.5937513678087593
human,large,11340,christoph,1.0,1.0,0.7615941559557649
human,large,11457,__NO_ANNOTATION__,,,
human,large,11541,__NO_ANNOTATION__,,,
human,large,11543,__NO_ANNOTATION__,,,
human,large,11678,__NO_CHARACTER_MATCH__,,,
human,large,11678,karen,0.0,0.0,0.0
human,large,11678,paul,0.5,0.5,0.24491866240370913
human,large,11678,wolf,1.0,1.0,0.7615941559557649
human,large,11719,billy,0.9166666666666666,0.9166666666666666,0.6776727618822621
human,large,11719,shia,1.0,1.0,0.7615941559557649
human,large,12358,__NO_ANNOTATION__,,,
human,large,12423,hailee,0.2,0.2,0.03997868031116358
human,large,12423,jeff,0.7999999999999999,0.9333333333333332,0.6108984110413894
human,large,12423,matt,0.4000000000000001,0.8000000000000002,0.2914688246862878
human,large,13596,emile,1.0,1.0,0.7615941559557649
human,large,13683,bill,0.7999999999999999,0.9333333333333332,0.6211810919333417
human,large,13683,christian,0.0,0.0,0.0
human,large,13683,terence,0.0,0.0,0.0
human,large,13683,tom,0.8666666666666667,1.0,0.6867459596365216
claude45,original,5349,james,0.5,0.5,0.24491866240370913
claude45,original,5349,kim,0.0,0.0,0.0
claude45,original,6921,jude,0.16666666666666666,0.16666666666666666,0.02777063549200968
claude45,original,6921,matt,0.0,0.0,0.0
claude45,original,6921,philip,0.16666666666666666,1.0,0.16514041292462933
claude45,original,7065,jude,0.25,0.75,0.1853331999081395
claude45,original,7065,matt,0.5,1.0,0.46211715726000974
claude45,original,1201,__NO_ANNOTATION__,,,
claude45,original,9914,matthew,0.0,0.0,0.0
claude45,original,9914,reese,0.0,1.0,0.0
claude45,original,11678,wolf,0.75,0.75,0.5098299737352565
claude45,original,345,connie,0.25,0.25,0.062418746747512514
claude45,original,345,john,0.25,0.25,0.062418746747512514
claude45,original,721,denzel,0.25,0.25,0.062418746747512514
claude45,original,721,mila,0.0,0.0,0.0
claude45,original,7195,gerard,0.5,1.0,0.46211715726000974
claude45,original,7195,jennifer,0.5,1.0,0.46211715726000974
claude45,original,2400,audrey,0.5,0.5,0.24491866240370913
claude45,original,2400,cary,0.25,0.25,0.062418746747512514
claude45,original,2400,george,0.25,0.25,0.062418746747512514
claude45,original,2400,jacques,0.25,0.75,0.1853331999081395
claude45,original,3761,jeff,1.0,1.0,0.7615941559557649
claude45,original,3761,jim,1.0,1.0,0.7615941559557649
claude45,original,5540,__NO_ANNOTATION__,,,
claude45,original,3295,dane,0.5,1.0,0.46211715726000974
