model,prompt,story_id,CharTr,CharRe,char_coherence
gpt4o,original,4797,0.0,0.375,0.0
gpt4o,original,5047,,,
gpt4o,original,5062,,,
gpt4o,original,5201,0.0625,0.53125,0.042839919167091775
gpt4o,original,5265,0.625,0.875,0.48597356549763315
gpt4o,original,5349,0.1,0.1,0.01998934015558179
gpt4o,original,5540,,,
gpt4o,original,5721,,,
gpt4o,original,6111,1.0,1.0,0.7615941559557649
gpt4o,original,6215,0.6666666666666666,0.6666666666666666,0.43612513324025143
gpt4o,original,6729,0.08571428571428572,0.45714285714285713,0.06497638746211047
gpt4o,original,6847,0.5,0.5,0.27238912762882606
gpt4o,original,6878,0.0,0.0,0.0
gpt4o,original,6921,0.3888888888888889,0.6666666666666666,0.2645802170363913
gpt4o,original,7065,0.5,1.0,0.46211715726000974
gpt4o,original,7150,0.08333333333333333,0.25,0.06177773330271317
gpt4o,original,7195,0.375,0.75,0.25491498686762826
gpt4o,original,7596,0.2,0.9,0.18997448112761245
gpt4o,original,7702,0.375,0.625,0.21512593115592432
gpt4o,original,8061,0.4166666666666667,0.75,0.2974563398572861
gpt4o,original,8085,0.15000000000000002,0.35,0.08900595613060074
gpt4o,original,8154,0.36,0.76,0.29311406612719015
gpt4o,original,8551,,,
gpt4o,original,9334,1.0,1.0,0.7615941559557649
gpt4o,original,9418,0.1,0.7,0.098687660112452
gpt4o,original,9914,0.125,0.625,0.031209373373756257
gpt4o,original,10408,0.30000000000000004,0.30000000000000004,0.1189863782231242
gpt4o,original,10486,0.2,0.5,0.18997448112761245
gpt4o,original,10499,0.16666666666666666,0.3333333333333333,0.15403905242000324
gpt4o,original,11260,0.5,0.6666666666666666,0.3398866491568377
gpt4o,original,11340,0.625,0.875,0.48597356549763315
gpt4o,original,11457,,,
gpt4o,original,11541,,,
gpt4o,original,11543,,,
gpt4o,original,11678,0.25,0.25,0.12245933120185457
gpt4o,original,11719,0.75,0.75,0.5098299737352565
gpt4o,original,12358,,,
gpt4o,original,12423,0.4000000000000001,0.8000000000000002,0.29390072386850496
gpt4o,original,13596,1.0,1.0,0.7615941559557649
gpt4o,original,13683,0.6,0.8,0.44113180056677803
human,large,345,0.7083333333333333,0.7916666666666666,0.5070607313763672
human,large,515,0.4444444444444444,0.736111111111111,0.34938447540819495
human,large,721,0.19791666666666666,0.3854166666666667,0.12337829273643601
human,large,723,1.0,1.0,0.7615941559557649
human,large,733,0.8666666666666667,1.0,0.6867459596365216
human,large,948,0.45833333333333337,0.5625,0.31356718473731343
human,large,1111,,,
human,large,1201,,,
human,large,1214,0.7,1.0,0.5707715591054949
human,large,1467,0.375,0.5,0.23502045901177632
human,large,2400,0.4,0.6,0.2779378211482868
human,large,2702,0.45000000000000007,0.6000000000000001,0.3221119024974873
human,large,2722,,,
human,large,2926,0.375,0.6354166666666666,0.30039191311124624
human,large,3230,0.5625,0.6875,0.3797940190866683
human,large,3295,0.6666666666666666,0.75,0.45334357606377784
human,large,3761,0.8333333333333334,1.0,0.6617684897238465
human,large,3891,0.1875,0.3125,0.13113397600188056
human,large,4047,,,
human,large,4173,0.3214285714285714,0.8214285714285714,0.25748737981037895
human,large,4797,0.0625,0.0625,0.015604686686878129
human,large,5047,,,
human,large,5062,,,
human,large,5201,0.29166666666666663,0.55,0.21560509953457035
human,large,5265,0.6666666666666666,0.9166666666666667,0.5237643000124909
human,large,5349,0.6499999999999999,0.75,0.4649281539362574
human,large,5540,,,
human,large,5721,,,
human,large,6111,0.34722222222222215,0.7083333333333334,0.2506037590700852
human,large,6215,0.3416666666666667,0.5194444444444444,0.2105170822641248
human,large,6729,0.025,0.12083333333333332,0.011412913309616286
human,large,6847,0.4444444444444444,0.638888888888889,0.3086058974362951
human,large,6878,0.5,1.0,0.3807970779778824
human,large,6921,0.34259259259259256,0.8796296296296298,0.27219089582990325
human,large,7065,0.7916666666666667,0.9583333333333333,0.6156378301652015
human,large,7150,0.4444444444444444,0.4444444444444444,0.29640952809745197
human,large,7195,0.5833333333333334,0.8333333333333333,0.4356729434170945
human,large,7596,0.4666666666666667,0.7666666666666667,0.32490043248640776
human,large,7702,0.625,0.625,0.3773743180694828
human,large,8061,0.3968253968253968,0.7301587301587302,0.28961339633991484
human,large,8085,0.32499999999999996,0.49166666666666664,0.2250175932985026
human,large,8154,0.30000000000000004,0.4166666666666667,0.12804939712190533
human,large,8551,,,
human,large,9334,1.0,1.0,0.7615941559557649
human,large,9418,0.4222222222222222,0.6111111111111112,0.26829199103034307
human,large,9914,0.5625,0.5625,0.39640176466476057
human,large,10408,0.5166666666666666,0.7,0.36541175293234684
human,large,10486,0.26666666666666666,0.5666666666666667,0.24234134937521587
human,large,10499,0.40277777777777785,0.7083333333333334,0.3007245659732382
human,large,11260,0.9444444444444445,0.9444444444444445,0.705646559906763
human,large,11340,0.9166666666666667,0.9166666666666667,0.677672761882262
human,large,11457,,,
human,large,11541,,,
human,large,11543,,,
human,large,11678,0.5,0.5,0.33550427278649136
human,large,11719,0.9583333333333333,0.9583333333333333,0.7196334589190134
human,large,12358,,,
human,large,12423,0.4666666666666666,0.6444444444444445,0.31411530534628024
human,large,13596,1.0,1.0,0.7615941559557649
human,large,13683,0.41666666666666663,0.4833333333333333,0.32698176289246583
human,original,345,0.25,0.5,0.12387597332782602
human,original,515,0.5925925925925926,0.7777777777777777,0.47100783786619793
human,original,721,0.4375,0.4375,0.31785603242275534
human,original,723,0.5555555555555556,1.0,0.5046723977218568
human,original,733,0.8,1.0,0.6493218614769001
human,original,948,0.625,0.625,0.41200645135163866
human,original,1111,,,
human,original,1201,,,
human,original,1214,0.6,1.0,0.5370495669980352
human,original,1467,0.375,0.375,0.15366870457561083
human,original,2400,0.4375,0.6875,0.2843219204938919
human,original,2702,1.0,1.0,0.7615941559557649
human,original,2722,,,
human,original,2926,0.75,0.75,0.503256409179737
human,original,3230,0.375,0.75,0.25491498686762826
human,original,3295,0.375,0.875,0.3237251785840746
human,original,3761,0.75,1.0,0.6118556566078873
human,original,3891,0.375,0.625,0.26226795200376113
human,original,4047,,,
human,original,4173,0.14285714285714285,0.6428571428571428,0.08091498268790095
human,original,4797,0.25,0.25,0.062418746747512514
human,original,5047,,,
human,original,5062,,,
human,original,5201,0.5,0.6666666666666666,0.345532529059845
human,original,5265,0.75,1.0,0.6118556566078873
human,original,5349,0.1,0.30000000000000004,0.01998934015558179
human,original,5540,,,
human,original,5721,,,
human,original,6111,0.125,0.625,0.031209373373756257
human,original,6215,0.08333333333333333,0.41666666666666663,0.041570483216799875
human,original,6729,0.0,0.0,0.0
human,original,6847,0.5,0.75,0.3807970779778824
human,original,6878,,,
human,original,6921,0.5,0.9444444444444445,0.4146183592519345
human,original,7065,0.375,0.875,0.3237251785840746
human,original,7150,0.16666666666666666,0.3333333333333333,0.08258398221855068
human,original,7195,0.5,1.0,0.46211715726000974
human,original,7596,0.7,0.9,0.5509745599221301
human,original,7702,0.625,0.625,0.37737431806948285
human,original,8061,0.42857142857142855,0.8095238095238094,0.3098839263723723
human,original,8085,0.25,0.45,0.10899529628618253
human,original,8154,0.6,0.6,0.37866516862946753
human,original,8551,,,
human,original,9334,0.6,1.0,0.5370495669980352
human,original,9418,0.2,0.4,0.15475346060631925
human,original,9914,0.75,1.0,0.6118556566078873
human,original,10408,0.25,0.25,0.06964613630774742
human,original,10486,0.5,0.5,0.3807970779778824
human,original,10499,0.0,0.375,0.0
human,original,11260,0.875,0.875,0.6357120648455107
human,original,11340,1.0,1.0,0.7615941559557649
human,original,11457,,,
human,original,11541,,,
human,original,11543,,,
human,original,11678,0.5,1.0,0.46211715726000974
human,original,11719,0.5,0.75,0.34758158682169804
human,original,12358,,,
human,original,12423,0.4,0.6000000000000001,0.23407771275506872
human,original,13596,,,
human,original,13683,1.0,1.0,0.7615941559557649
internvl3,large,345,0.5,0.5,0.3807970779778824
internvl3,large,515,0.0,0.375,0.0
internvl3,large,721,0.0625,0.0625,0.015604686686878129
internvl3,large,723,0.3333333333333333,1.0,0.32151273753163434
internvl3,large,733,1.0,1.0,0.7615941559557649
internvl3,large,948,0.125,0.5,0.09537580726036486
internvl3,large,1111,,,
internvl3,large,1201,,,
internvl3,large,1214,0.8333333333333334,0.8333333333333334,0.6008296026925349
internvl3,large,1467,0.375,0.75,0.24491866240370913
internvl3,large,2400,0.08571428571428572,0.5142857142857142,0.03644705916529242
internvl3,large,2702,0.7,0.7,0.4601213301266319
internvl3,large,2722,,,
internvl3,large,2926,0.16,0.44000000000000006,0.10771949331054476
internvl3,large,3230,0.3333333333333333,0.4666666666666666,0.22810895046020363
internvl3,large,3295,0.26666666666666666,0.5333333333333333,0.156304300019396
internvl3,large,3761,1.0,1.0,0.7615941559557649
internvl3,large,3891,0.25,0.75,0.1853331999081395
internvl3,large,4047,,,
internvl3,large,4173,0.125,1.0,0.12245933120185457
internvl3,large,4797,0.3333333333333333,0.8333333333333334,0.27084711851672144
internvl3,large,5047,,,
internvl3,large,5062,,,
internvl3,large,5201,0.03125,0.46875,0.027235232480213645
internvl3,large,5265,0.20833333333333334,0.2916666666666667,0.08801943486663681
internvl3,large,5349,0.30000000000000004,0.9,0.2692987332763619
internvl3,large,5540,,,
internvl3,large,5721,,,
internvl3,large,6111,0.05555555555555555,0.8333333333333334,0.04600088837879371
internvl3,large,6215,,,
internvl3,large,6729,0.0,0.0,0.0
internvl3,large,6847,0.375,0.625,0.24896014325754914
internvl3,large,6878,0.2857142857142857,0.2857142857142857,0.08145180476581139
internvl3,large,6921,0.2222222222222222,0.7777777777777778,0.18641966028514798
internvl3,large,7065,1.0,1.0,0.7615941559557649
internvl3,large,7150,0.125,0.375,0.09266659995406976
internvl3,large,7195,0.6499999999999999,1.0,0.5707086720575993
internvl3,large,7596,0.6000000000000001,0.8,0.43720323702943176
internvl3,large,7702,,,
internvl3,large,8061,0.19047619047619047,0.8095238095238096,0.16052057968755773
internvl3,large,8085,0.05,0.44999999999999996,0.02985682463359647
internvl3,large,8154,0.2,0.7,0.14689568101113082
internvl3,large,8551,,,
internvl3,large,9334,0.6666666666666666,1.0,0.5827829453479101
internvl3,large,9418,1.0,1.0,0.7615941559557649
internvl3,large,9914,0.0,1.0,0.0
internvl3,large,10408,0.21428571428571427,0.2857142857142857,0.061114261391745785
internvl3,large,10486,0.2,0.2,0.03997868031116358
internvl3,large,10499,0.5833333333333334,0.9166666666666666,0.47802142941842535
internvl3,large,11260,0.4666666666666666,0.9333333333333332,0.40883515015529953
internvl3,large,11340,1.0,1.0,0.7615941559557649
internvl3,large,11457,,,
internvl3,large,11541,,,
internvl3,large,11543,,,
internvl3,large,11678,0.0,0.25,0.0
internvl3,large,11719,1.0,1.0,0.7615941559557649
internvl3,large,12358,,,
internvl3,large,12423,0.6666666666666666,0.8000000000000002,0.48238771799326036
internvl3,large,13596,0.6666666666666666,1.0,0.5827829453479101
internvl3,large,13683,0.15000000000000002,0.8,0.12672056035938561
internvl3,original,345,1.0,1.0,0.7615941559557649
internvl3,original,515,0.27777777777777773,0.6666666666666666,0.17316863139261351
internvl3,original,721,0.25,0.75,0.20074208789597928
internvl3,original,723,1.0,1.0,0.7615941559557649
internvl3,original,733,1.0,1.0,0.7615941559557649
internvl3,original,948,0.1111111111111111,0.3333333333333333,0.07287836122904044
internvl3,original,1111,,,
internvl3,original,1201,,,
internvl3,original,1214,0.25,0.4166666666666667,0.19705928396540728
internvl3,original,1467,0.30000000000000004,0.9,0.25344112071877123
internvl3,original,2400,0.05714285714285714,0.5142857142857142,0.01629036095316228
internvl3,original,2702,0.5,0.5,0.3024391165786943
internvl3,original,2722,,,
internvl3,original,2926,0.4,0.7,0.28244977642311253
internvl3,original,3230,0.6666666666666666,0.7999999999999999,0.5077294373038432
internvl3,original,3295,0.4666666666666666,0.4666666666666666,0.30337119566058196
internvl3,original,3761,1.0,1.0,0.7615941559557649
internvl3,original,3891,0.1875,0.9375,0.158417500561683
internvl3,original,4047,,,
internvl3,original,4173,0.8,1.0,0.6493218614769001
internvl3,original,4797,0.0,0.5,0.0
internvl3,original,5047,,,
internvl3,original,5062,,,
internvl3,original,5201,0.03125,0.59375,0.015604686686878129
internvl3,original,5265,1.0,1.0,0.7615941559557649
internvl3,original,5349,0.4,1.0,0.3799489622552249
internvl3,original,5540,,,
internvl3,original,5721,,,
internvl3,original,6111,0.625,0.625,0.41200645135163866
internvl3,original,6215,0.7,0.7,0.45505679349087297
internvl3,original,6729,,,
internvl3,original,6847,0.8333333333333334,1.0,0.6617684897238465
internvl3,original,6878,0.4,1.0,0.3799489622552249
internvl3,original,6921,0.9,0.9,0.663246854400995
internvl3,original,7065,1.0,1.0,0.7615941559557649
internvl3,original,7150,0.125,0.625,0.09266659995406976
internvl3,original,7195,1.0,1.0,0.7615941559557649
internvl3,original,7596,1.0,1.0,0.7615941559557649
internvl3,original,7702,,,
internvl3,original,8061,0.16666666666666666,0.875,0.13355317985797424
internvl3,original,8085,0.21875,0.75,0.1592917255570383
internvl3,original,8154,0.24,0.76,0.19319675734901193
internvl3,original,8551,,,
internvl3,original,9334,1.0,1.0,0.7615941559557649
internvl3,original,9418,0.5,0.5,0.3807970779778824
internvl3,original,9914,0.5,1.0,0.46211715726000974
internvl3,original,10408,0.5,0.5,0.3807970779778824
internvl3,original,10486,0.4,1.0,0.3672124436114696
internvl3,original,10499,0.7999999999999999,0.9333333333333332,0.6108984110413894
internvl3,original,11260,0.7333333333333334,1.0,0.6118977633172784
internvl3,original,11340,1.0,1.0,0.7615941559557649
internvl3,original,11457,,,
internvl3,original,11541,,,
internvl3,original,11543,,,
internvl3,original,11678,0.16666666666666666,0.16666666666666666,0.0816395541345697
internvl3,original,11719,1.0,1.0,0.7615941559557649
internvl3,original,12358,,,
internvl3,original,12423,0.6666666666666666,0.6666666666666666,0.4184425403724223
internvl3,original,13596,1.0,1.0,0.7615941559557649
internvl3,original,13683,0.35,0.9,0.2677752692921008
llama4scout,large,345,0.1,0.1,0.01998934015558179
llama4scout,large,515,0.06666666666666667,0.9,0.0593602893724434
llama4scout,large,721,,,
llama4scout,large,723,0.0,0.0,0.0
llama4scout,large,733,,,
llama4scout,large,948,0.0,0.0,0.0
llama4scout,large,1111,,,
llama4scout,large,1201,,,
llama4scout,large,1214,0.30000000000000004,0.5,0.17474280076190105
llama4scout,large,1467,0.8,0.8,0.5534040950456429
llama4scout,large,2400,0.75,0.75,0.5098299737352565
llama4scout,large,2702,,,
llama4scout,large,2722,,,
llama4scout,large,2926,,,
llama4scout,large,3230,0.25,0.25,0.062418746747512514
llama4scout,large,3295,0.5,0.75,0.33550427278649136
llama4scout,large,3761,,,
llama4scout,large,3891,0.6,1.0,0.5370495669980352
llama4scout,large,4047,,,
llama4scout,large,4173,0.1111111111111111,1.0,0.11065611052473799
llama4scout,large,4797,0.0,0.0,0.0
llama4scout,large,5047,,,
llama4scout,large,5062,,,
llama4scout,large,5201,0.8,1.0,0.664036770267849
llama4scout,large,5265,0.375,0.5,0.18439731786576757
llama4scout,large,5349,0.3333333333333333,0.6666666666666666,0.2186350836871213
llama4scout,large,5540,,,
llama4scout,large,5721,,,
llama4scout,large,6111,,,
llama4scout,large,6215,,,
llama4scout,large,6729,,,
llama4scout,large,6847,0.3333333333333333,1.0,0.3080781048400065
llama4scout,large,6878,0.8,0.8,0.5648995528462251
llama4scout,large,6921,,,
llama4scout,large,7065,0.0,0.0,0.0
llama4scout,large,7150,,,
llama4scout,large,7195,0.9,0.9,0.663246854400995
llama4scout,large,7596,,,
llama4scout,large,7702,0.25,0.25,0.062418746747512514
llama4scout,large,8061,0.09523809523809523,0.7142857142857143,0.09272849677523415
llama4scout,large,8085,0.55,0.55,0.3093849172120654
llama4scout,large,8154,0.32,0.72,0.2409676767627663
llama4scout,large,8551,,,
llama4scout,large,9334,,,
llama4scout,large,9418,,,
llama4scout,large,9914,,,
llama4scout,large,10408,0.15000000000000002,0.55,0.1072335549367561
llama4scout,large,10486,0.8,1.0,0.6493218614769001
llama4scout,large,10499,0.0,0.0,0.0
llama4scout,large,11260,0.5333333333333333,0.7999999999999999,0.39725684078206486
