model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed42,2926,jeff,0.5,1.0,0.4999999950000001
human,large,seed42,2926,jim,0.5,1.0,0.4999999950000001
human,large,seed42,2926,karen,0.0,0.0,0.0
human,large,seed42,2722,__NO_ANNOTATION__,,,
human,large,seed42,2702,ben,0.8,0.8,0.9999999875000001
human,large,seed42,2702,cameron,0.2,0.8,0.24999999687500002
human,large,seed42,2400,__NO_CHARACTER_MATCH__,,,
human,large,seed42,1467,anthony,0.5,0.5,0.9999999800000003
human,large,seed42,1467,rosario,0.25,0.75,0.33333332888888895
human,large,seed42,1214,jack,0.4,1.0,0.3999999960000001
human,large,seed42,1201,__NO_ANNOTATION__,,,
human,large,seed42,1111,__NO_ANNOTATION__,,,
human,large,seed42,948,benjamin,0.5,0.5,0.9999999800000003
human,large,seed42,948,ksenia,0.0,0.0,0.0
human,large,seed42,948,natalie,1.0,1.0,0.9999999900000002
human,large,seed42,948,vincent,0.25,0.75,0.33333332888888895
human,large,seed42,733,gary,1.0,1.0,0.9999999900000002
human,large,seed42,733,jennifer,1.0,1.0,0.9999999900000002
human,large,seed42,723,james,1.0,1.0,0.9999999900000002
human,large,seed42,721,denzel,0.5,1.0,0.4999999950000001
human,large,seed42,721,gary,0.0,0.0,0.0
human,large,seed42,721,mila,0.0,0.0,0.0
human,large,seed42,721,tom,0.25,0.25,0.9999999600000016
human,large,seed42,515,bradley,0.0,0.0,0.0
human,large,seed42,515,christian,0.5,1.0,0.4999999950000001
human,large,seed42,515,shea,0.25,0.875,0.2857142824489796
human,large,seed42,345,connie,1.0,1.0,0.9999999900000002
human,large,seed42,345,john,0.25,0.25,0.9999999600000016
human,large,seed43,13683,bill,0.6,1.0,0.599999994
human,large,seed43,13683,christian,0.0,0.0,0.0
human,large,seed43,13683,tom,1.0,1.0,0.9999999900000002
human,large,seed43,13596,emile,1.0,1.0,0.9999999900000002
human,large,seed43,12423,hailee,0.2,0.2,0.9999999500000025
human,large,seed43,12423,jeff,1.0,1.0,0.9999999900000002
human,large,seed43,12423,matt,0.8,0.8,0.9999999875000001
human,large,seed43,12358,__NO_ANNOTATION__,,,
human,large,seed43,11719,billy,1.0,1.0,0.9999999900000002
human,large,seed43,11719,shia,1.0,1.0,0.9999999900000002
human,large,seed43,11678,paul,0.5,0.5,0.9999999800000003
human,large,seed43,11543,__NO_ANNOTATION__,,,
human,large,seed43,11541,__NO_ANNOTATION__,,,
human,large,seed43,11457,__NO_ANNOTATION__,,,
human,large,seed43,11340,brad,1.0,1.0,0.9999999900000002
human,large,seed43,11340,christoph,1.0,1.0,0.9999999900000002
human,large,seed43,11260,colin,0.75,0.75,0.9999999866666668
human,large,seed43,10499,al,0.25,0.25,0.9999999600000016
human,large,seed43,10486,robert,0.0,0.0,0.0
human,large,seed43,10486,val,0.6,1.0,0.599999994
human,large,seed43,10408,ashton,0.8,0.8,0.9999999875000001
human,large,seed43,10408,greta,0.6,0.6,0.9999999833333335
human,large,seed43,10408,jake,0.4,1.0,0.3999999960000001
human,large,seed43,9914,matthew,0.25,0.25,0.9999999600000016
human,large,seed43,9914,reese,1.0,1.0,0.9999999900000002
human,large,seed43,9418,daniel,0.6,1.0,0.599999994
human,large,seed43,9418,gary,0.0,0.6,0.0
human,large,seed43,9418,john,0.6,0.6,0.9999999833333335
human,large,seed43,9334,harrison,1.0,1.0,0.9999999900000002
human,large,seed43,8551,__NO_ANNOTATION__,,,
human,large,seed43,8154,angelina,0.4,0.4,0.9999999750000006
human,large,seed43,8154,fisher,0.2,0.2,0.9999999500000025
human,large,seed43,8154,jonny,0.4,0.4,0.9999999750000006
human,large,seed43,8154,matthew,0.4,0.4,0.9999999750000006
human,large,seed43,8085,linda,0.4,0.4,0.9999999750000006
human,large,seed43,8085,sam,0.6,1.0,0.599999994
human,large,seed43,8061,ellen,0.2857142857142857,1.0,0.2857142828571429
human,large,seed43,8061,leonardo,0.7142857142857143,0.7142857142857143,0.9999999860000002
human,large,seed43,8061,robert,1.0,1.0,0.9999999900000002
