model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed42,721,denzel,0.5,1.0,0.46211715332777115
human,large,seed42,721,gary,0.0,0.0,0.0
human,large,seed42,721,mila,0.0,0.0,0.0
human,large,seed42,721,tom,0.25,0.25,0.7615941391567914
human,large,seed42,515,bradley,0.0,0.0,0.0
human,large,seed42,515,christian,0.5,1.0,0.46211715332777115
human,large,seed42,515,shea,0.25,0.875,0.2781854873130891
human,large,seed42,345,connie,1.0,1.0,0.7615941517560215
human,large,seed42,345,john,0.25,0.25,0.7615941391567914
human,large,seed43,13683,bill,0.6,1.0,0.5370495627285687
human,large,seed43,13683,christian,0.0,0.0,0.0
human,large,seed43,13683,tom,1.0,1.0,0.7615941517560215
human,large,seed43,13596,emile,1.0,1.0,0.7615941517560215
human,large,seed43,12423,hailee,0.2,0.2,0.7615941349570481
human,large,seed43,12423,jeff,1.0,1.0,0.7615941517560215
human,large,seed43,12423,matt,0.8,0.8,0.7615941507060856
human,large,seed43,12358,__NO_ANNOTATION__,,,
human,large,seed43,11719,billy,1.0,1.0,0.7615941517560215
human,large,seed43,11719,shia,1.0,1.0,0.7615941517560215
human,large,seed43,11678,paul,0.5,0.5,0.7615941475562781
human,large,seed43,11543,__NO_ANNOTATION__,,,
human,large,seed43,11541,__NO_ANNOTATION__,,,
human,large,seed43,11457,__NO_ANNOTATION__,,,
human,large,seed43,11340,brad,1.0,1.0,0.7615941517560215
human,large,seed43,11340,christoph,1.0,1.0,0.7615941517560215
human,large,seed43,11260,colin,0.75,0.75,0.761594150356107
human,large,seed43,10499,al,0.25,0.25,0.7615941391567914
human,large,seed43,10486,robert,0.0,0.0,0.0
human,large,seed43,10486,val,0.6,1.0,0.5370495627285687
human,large,seed43,10408,ashton,0.8,0.8,0.7615941507060856
human,large,seed43,10408,greta,0.6,0.6,0.7615941489561925
human,large,seed43,10408,jake,0.4,1.0,0.37994895883266977
human,large,seed43,9914,matthew,0.25,0.25,0.7615941391567914
human,large,seed43,9914,reese,1.0,1.0,0.7615941517560215
human,large,seed43,9418,daniel,0.6,1.0,0.5370495627285687
human,large,seed43,9418,gary,0.0,0.6,0.0
human,large,seed43,9418,john,0.6,0.6,0.7615941489561925
human,large,seed43,9334,harrison,1.0,1.0,0.7615941517560215
human,large,seed43,8551,__NO_ANNOTATION__,,,
human,large,seed43,8154,angelina,0.4,0.4,0.7615941454564064
human,large,seed43,8154,fisher,0.2,0.2,0.7615941349570481
