model,prompt,seed,story_id,num_chains,avg_chain_size,coref_ratio
human,large,44,12358,4,4.25,0.7856065856161589
human,large,44,11719,3,6.666666666666667,0.9764441132252886
human,large,44,11678,6,3.6666666666666665,0.5441934667013559
human,large,44,11543,5,2.2,0.4129162032860138
human,large,44,11541,3,6.333333333333333,0.9706895565769862
human,large,44,11457,8,3.125,0.37147861144380634
human,large,44,11340,6,3.8333333333333335,0.5634173782332563
human,large,44,11260,4,7.0,0.940876806546837
human,large,44,10499,4,3.75,0.7329915688790408
human,large,44,10486,8,4.375,0.49766095230365814
human,large,44,10408,6,3.3333333333333335,0.5039831266785365
human,large,44,9914,5,3.6,0.616018324954511
human,large,44,9418,5,4.8,0.743420937403751
human,large,44,9334,6,8.0,0.8695215347340418
human,large,44,8551,7,5.571428571428571,0.6611100463266596
human,large,44,8154,7,3.857142857142857,0.500695837915262
human,large,44,8085,7,4.714285714285714,0.5866276548898999
human,large,44,8061,4,8.0,0.9636735073973529
human,large,44,7702,3,5.666666666666667,0.9547239922927337
human,large,44,7596,5,4.2,0.6849199781029739
human,large,44,7195,7,5.142857142857143,0.6252907543498986
human,large,44,7150,7,3.7142857142857144,0.48527048008883217
human,large,44,7065,4,4.0,0.760544847685396
human,large,44,6921,6,4.5,0.6344038707697881
human,large,44,6878,6,7.666666666666667,0.8553220566032455
human,large,44,6847,4,4.75,0.8288773922429453
human,large,44,6729,10,4.2,0.39657689920341427
human,large,44,6215,8,3.0,0.35794928685212757
human,large,44,6111,12,4.916666666666667,0.3879470283855507
human,large,44,5721,15,4.133333333333334,0.2686163510277667
human,large,44,5540,8,7.25,0.7187810800195283
human,large,44,5349,3,9.333333333333334,0.9959556217297348
human,large,44,5265,4,6.75,0.9332874150134229
human,large,44,5201,6,6.666666666666667,0.8038014861305588
human,large,44,5062,3,5.333333333333333,0.9438141852691169
human,large,44,5047,15,2.533333333333333,0.16719186529525185
human,large,44,4797,12,3.4166666666666665,0.2770510877953476
human,large,44,4173,7,4.428571428571429,0.5592564348363973
human,large,44,4047,5,9.2,0.9504413764860261
human,large,44,3891,6,3.5,0.5243805889562654
human,large,44,3761,15,5.066666666666666,0.3252908368513551
human,large,44,3295,6,5.666666666666667,0.7365394569289215
human,large,44,3230,5,7.8,0.914914568046178
human,large,44,2926,6,3.6666666666666665,0.5441934667013559
human,large,44,2722,4,4.0,0.760544847685396
human,large,44,2702,3,9.666666666666666,0.9967578207086032
human,large,44,2400,8,4.875,0.5431508858186228
human,large,44,1467,8,4.125,0.4738172693763117
human,large,44,1214,5,8.6,0.9374483042619981
human,large,44,1201,8,5.25,0.5753145349040011
human,large,44,1111,2,8.5,0.9995755755308336
human,large,44,948,5,4.0,0.6631431205938949
human,large,44,733,6,9.166666666666666,0.9096057508245349
human,large,44,723,3,10.0,0.9974011113851907
human,large,44,721,5,3.4,0.5906363091998973
human,large,44,515,13,5.6923076923076925,0.411597680091912
human,large,44,345,7,6.285714285714286,0.7146765836067003
claude45,original,42,5349,10,3.3,0.3182245223383665
claude45,original,42,6921,9,4.777777777777778,0.48559127633000954
claude45,original,42,7065,7,4.714285714285714,0.5866276548898999
claude45,original,42,1201,3,2.6666666666666665,0.7093805217562799
claude45,original,42,9914,6,3.0,0.46146262313113756
claude45,original,42,11678,5,5.2,0.7770670098724379
claude45,original,42,345,9,3.111111111111111,0.33219663679765116
claude45,original,42,721,8,3.5,0.4111162809106542
claude45,original,42,7195,8,4.5,0.5093100732176662
claude45,original,42,2400,7,4.857142857142857,0.599833913905728
claude45,original,42,3761,9,4.222222222222222,0.4370796780610105
claude45,original,42,5540,12,3.25,0.264190328819434
claude45,original,42,3295,6,4.666666666666667,0.6506837713662316
claude45,original,42,1214,6,5.0,0.68151993687585
claude45,original,42,723,6,5.666666666666667,0.7365394569289215
claude45,original,42,5062,6,5.666666666666667,0.7365394569289215
claude45,original,42,6878,8,4.375,0.49766095230365814
claude45,original,42,6729,10,3.5,0.33606541993937755
claude45,original,42,8061,9,5.888888888888889,0.5740849692499455
claude45,original,42,11719,4,9.0,0.9777808911365927
claude45,original,42,12358,8,4.0,0.4616260994840963
claude45,original,42,12423,8,5.5,0.5958202352150785
claude45,original,42,5047,7,3.142857142857143,0.42053279340106575
