model,prompt,story_id,num_chains,avg_chain_size,coref_ratio
claude45,large,3230,7.0,4.571428571428571,0.5731018606970495
claude45,large,10486,8.0,5.125,0.5647805343680173
gpt4o,original,2400,7.0,3.2857142857142856,0.4371630286577889
gpt4o,original,1201,4.0,3.75,0.7329915688790408
gpt4o,original,6729,8.0,3.125,0.37147861144380634
gpt4o,original,515,8.0,5.125,0.5647805343680173
gpt4o,original,4173,9.0,3.4444444444444446,0.3646956596528863
gpt4o,original,11340,4.0,5.75,0.8924661507026329
gpt4o,original,6215,6.0,4.833333333333333,0.6663867063780647
gpt4o,original,13596,5.0,6.4,0.8558027155778727
gpt4o,original,6847,7.0,3.857142857142857,0.500695837915262
gpt4o,original,3761,4.0,6.25,0.9151939249285582
gpt4o,original,723,6.0,6.0,0.7608944773789501
gpt4o,original,13683,5.0,5.4,0.7923983238844522
gpt4o,original,733,6.0,5.833333333333333,0.748969830450033
gpt4o,original,11260,9.0,2.888888888888889,0.31007772240079795
gpt4o,original,12423,5.0,6.0,0.8329225598595321
gpt4o,original,12358,5.0,3.6,0.616018324954511
gpt4o,original,2926,8.0,4.875,0.5431508858186228
gpt4o,original,2722,5.0,4.4,0.7055382777228413
gpt4o,original,6878,5.0,4.6,0.7250275395140692
gpt4o,original,10499,7.0,3.0,0.403615090127592
gpt4o,original,10408,9.0,3.7777777777777777,0.3963297763809756
gpt4o,original,345,5.0,4.2,0.6849199781029739
gpt4o,original,11678,6.0,4.166666666666667,0.6000907329398486
gpt4o,original,721,7.0,3.2857142857142856,0.4371630286577889
gpt4o,original,8085,9.0,3.0,0.3211809816372804
gpt4o,original,10486,7.0,4.0,0.5158096264117492
gpt4o,original,8061,6.0,4.0,0.5820499548410306
gpt4o,original,1467,5.0,4.2,0.6849199781029739
gpt4o,original,7150,7.0,4.0,0.5158096264117492
gpt4o,original,7065,7.0,4.571428571428571,0.5731018606970495
gpt4o,original,11541,6.0,4.333333333333333,0.6175410392444916
gpt4o,original,3891,5.0,3.2,0.5640291275177679
gpt4o,original,7195,7.0,3.7142857142857144,0.48527048008883217
gpt4o,original,6921,7.0,5.0,0.6127212478031274
gpt4o,original,5540,4.0,5.0,0.8474072141058118
gpt4o,original,8154,9.0,4.111111111111111,0.42705003345834885
gpt4o,original,11457,3.0,4.0,0.8689811246743774
gpt4o,original,6111,5.0,5.6,0.806789922025664
gpt4o,original,9914,5.0,3.8,0.6401825682277622
gpt4o,original,11543,9.0,3.0,0.3211809816372804
gpt4o,original,1214,3.0,7.333333333333333,0.9848100841020997
gpt4o,original,5721,10.0,2.5,0.24468387910399075
gpt4o,original,5047,4.0,2.5,0.5535195826486679
gpt4o,original,948,8.0,4.625,0.5207754938618373
gpt4o,original,5201,9.0,3.5555555555555554,0.3753390402210108
gpt4o,original,3230,5.0,5.2,0.7770670098724379
gpt4o,original,4047,3.0,7.666666666666667,0.9878094888255903
gpt4o,original,4797,8.0,2.75,0.33043887960173574
gpt4o,original,11719,2.0,10.0,0.9999045730276356
gpt4o,original,8551,5.0,3.0,0.5361968300109659
gpt4o,original,9418,5.0,5.8,0.8202838816974648
gpt4o,original,5062,5.0,5.0,0.7607546086956449
gpt4o,original,7596,5.0,5.4,0.7923983238844522
gpt4o,original,7702,5.0,5.4,0.7923983238844522
gpt4o,original,5265,4.0,11.75,0.9943157048337464
gpt4o,original,1111,4.0,6.0,0.9044700003543296
gpt4o,original,9334,3.0,6.0,0.9635551199895266
gpt4o,original,2702,3.0,6.666666666666667,0.9764441132252886
gpt4o,original,5349,7.0,3.0,0.403615090127592
gpt4o,original,3295,4.0,6.25,0.9151939249285582
gpt4o,large,10486,6.0,3.3333333333333335,0.5039831266785365
gpt4o,large,7065,4.0,5.25,0.8640796744146161
gpt4o,large,3230,4.0,4.5,0.808330888044811
gpt4o,large,345,4.0,4.0,0.760544847685396
gpt4o,large,5062,2.0,7.0,0.9981133843224367
gpt4o,large,723,3.0,6.333333333333333,0.9706895565769862
gpt4o,large,12423,5.0,4.2,0.6849199781029739
gpt4o,large,13683,6.0,4.5,0.6344038707697881
gpt4o,large,6215,5.0,3.6,0.616018324954511
gpt4o,large,6878,4.0,4.5,0.808330888044811
gpt4o,large,9418,6.0,5.0,0.68151993687585
gpt4o,large,10499,6.0,2.6666666666666665,0.41671074421007165
gpt4o,large,8154,9.0,4.111111111111111,0.42705003345834885
gpt4o,large,1111,5.0,3.6,0.616018324954511
gpt4o,large,8551,5.0,3.6,0.616018324954511
gpt4o,large,13596,3.0,7.0,0.9810797174732149
gpt4o,large,3295,5.0,4.6,0.7250275395140692
gpt4o,large,6921,7.0,4.0,0.5158096264117492
gpt4o,large,2926,7.0,4.857142857142857,0.599833913905728
gpt4o,large,8085,5.0,4.8,0.743420937403751
gpt4o,large,2400,7.0,3.857142857142857,0.500695837915262
gpt4o,large,11260,9.0,3.4444444444444446,0.3646956596528863
gpt4o,large,1214,3.0,5.0,0.9303691714681529
gpt4o,large,948,7.0,3.857142857142857,0.500695837915262
gpt4o,large,4047,5.0,4.4,0.7055382777228413
gpt4o,large,6111,7.0,3.857142857142857,0.500695837915262
gpt4o,large,2722,7.0,3.2857142857142856,0.4371630286577889
gpt4o,large,5721,8.0,3.75,0.4367153108489706
gpt4o,large,5047,2.0,3.0,0.9037905507796178
gpt4o,large,11678,7.0,3.4285714285714284,0.4534996043235448
gpt4o,large,721,8.0,2.75,0.33043887960173574
gpt4o,large,3761,4.0,4.5,0.808330888044811
gpt4o,large,1201,3.0,4.666666666666667,0.9138494194403485
gpt4o,large,2702,2.0,6.5,0.9968991101462736
gpt4o,large,11457,5.0,2.2,0.4129162032860138
gpt4o,large,12358,4.0,4.75,0.8288773922429453
gpt4o,large,7150,5.0,4.8,0.743420937403751
gpt4o,large,7596,5.0,5.2,0.7770670098724379
gpt4o,large,5265,5.0,7.6,0.9081674793916036
gpt4o,large,3891,6.0,4.0,0.5820499548410306
gpt4o,large,9914,6.0,4.5,0.6344038707697881
gpt4o,large,11340,3.0,5.333333333333333,0.9438141852691169
gpt4o,large,6847,6.0,4.333333333333333,0.6175410392444916
gpt4o,large,7702,6.0,4.333333333333333,0.6175410392444916
gpt4o,large,11541,3.0,3.3333333333333335,0.8031484075308158
gpt4o,large,4173,10.0,3.5,0.33606541993937755
gpt4o,large,10408,5.0,4.0,0.6631431205938949
gpt4o,large,5540,7.0,4.0,0.5158096264117492
gpt4o,large,9334,6.0,4.5,0.6344038707697881
gpt4o,large,8061,5.0,5.8,0.8202838816974648
gpt4o,large,5349,6.0,2.8333333333333335,0.43935924485967975
gpt4o,large,4797,10.0,3.0,0.29103832169071686
gpt4o,large,5201,5.0,4.6,0.7250275395140692
gpt4o,large,515,7.0,4.0,0.5158096264117492
gpt4o,large,11719,4.0,5.5,0.8790497469034001
gpt4o,large,1467,4.0,4.5,0.808330888044811
gpt4o,large,733,6.0,4.833333333333333,0.6663867063780647
gpt4o,large,11543,3.0,6.0,0.9635551199895266
gpt4o,large,6729,7.0,2.7142857142857144,0.36894555529406187
gpt4o,large,7195,7.0,3.0,0.403615090127592
internvl3,original,1111,8.0,6.375,0.6617272415453722
internvl3,original,3761,6.0,5.333333333333333,0.7101120599669639
internvl3,original,6847,6.0,4.833333333333333,0.6663867063780647
internvl3,original,13596,5.0,8.8,0.9421093490398186
internvl3,original,8085,9.0,4.222222222222222,0.4370796780610105
internvl3,original,6878,6.0,5.833333333333333,0.748969830450033
internvl3,original,1201,5.0,4.8,0.743420937403751
internvl3,original,515,8.0,2.875,0.3442679766686569
internvl3,original,11719,7.0,7.428571428571429,0.7855530778074692
internvl3,original,11543,5.0,3.4,0.5906363091998973
internvl3,original,345,7.0,4.428571428571429,0.5592564348363973
internvl3,original,11340,6.0,5.166666666666667,0.6960918947706721
internvl3,original,12423,6.0,5.5,0.7235908405593221
internvl3,original,5201,7.0,3.142857142857143,0.42053279340106575
internvl3,original,723,5.0,7.0,0.8847461328637138
internvl3,original,9914,7.0,5.857142857142857,0.6834400870560381
internvl3,original,2702,7.0,3.857142857142857,0.500695837915262
internvl3,original,9418,7.0,6.142857142857143,0.7045604551402622
