model,prompt,story_id,character_name,tc,ic,mcc_raw_char,MCC_char
claude45,original,345,john,1.0,1.0,1.0,0.7615941559557649
claude45,original,721,denzel,1.0,1.0,1.0,0.7615941559557649
claude45,original,721,gary,,1.0,0.0,0.0
claude45,original,721,mila,1.0,1.0,1.0,0.7615941559557649
claude45,original,721,tom,,1.0,0.0,0.0
claude45,original,7195,gerard,0.8,,0.0,0.0
claude45,original,7195,jennifer,0.8,0.6666666666666666,0.8666666666666666,0.6996765874203054
claude45,original,2400,audrey,1.0,1.0,1.0,0.7615941559557649
claude45,original,2400,cary,1.0,1.0,1.0,0.7615941559557649
claude45,original,2400,george,1.0,1.0,1.0,0.7615941559557649
claude45,original,2400,jacques,0.75,0.75,1.0,0.7615941559557649
claude45,original,2400,ned,,1.0,0.0,0.0
claude45,original,3761,jeff,1.0,1.0,1.0,0.7615941559557649
claude45,original,3761,jim,0.6,0.8,0.7999999999999999,0.6640367702678489
claude45,original,5540,__NO_ANNOTATION__,,,,
claude45,original,3295,dane,0.8,0.8,1.0,0.7615941559557649
claude45,original,3295,demi,1.0,1.0,1.0,0.7615941559557649
claude45,original,3295,ruben,,1.0,0.0,0.0
claude45,original,1214,jack,0.5,0.5,1.0,0.7615941559557649
claude45,original,1214,scatman,,,,
claude45,original,723,james,0.7142857142857143,0.625,0.9107142857142857,0.7214749119973186
claude45,original,5062,__NO_ANNOTATION__,,,,
claude45,original,6878,robert,0.4,0.6,0.8,0.664036770267849
claude45,original,6729,albert,,1.0,0.0,0.0
claude45,original,6729,frederic,1.0,1.0,1.0,0.7615941559557649
claude45,original,6729,laurence,1.0,0.6666666666666666,0.6666666666666666,0.5827829453479101
claude45,original,6729,martin,,1.0,0.0,0.0
claude45,original,6729,sam,0.42857142857142855,0.5,0.9285714285714286,0.7299271541543952
claude45,original,8061,ellen,0.5,0.5,1.0,0.7615941559557649
claude45,original,8061,leonardo,0.6666666666666666,0.6,0.9333333333333333,0.7321442233518527
claude45,original,8061,robert,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.694782670314738
claude45,original,11719,billy,1.0,0.75,0.75,0.6351489523872873
claude45,original,11719,shia,0.8,0.5,0.7,0.6043677771171634
claude45,original,12358,__NO_ANNOTATION__,,,,
claude45,original,12423,hailee,1.0,1.0,1.0,0.7615941559557649
claude45,original,12423,jeff,0.8,0.8,1.0,0.7615941559557649
claude45,original,12423,matt,1.0,0.8,0.8,0.664036770267849
claude45,original,5047,__NO_ANNOTATION__,,,,
claude45,original,13683,bill,1.0,0.75,0.75,0.6351489523872873
claude45,original,13683,christian,,1.0,0.0,0.0
claude45,original,13683,terence,,1.0,0.0,0.0
claude45,original,13683,tom,0.75,0.8333333333333334,0.9166666666666666,0.7243166860701286
claude45,original,5201,brian,0.3333333333333333,0.2857142857142857,0.9523809523809523,0.7408590612005881
claude45,original,5201,joan,0.375,0.375,1.0,0.7615941559557649
claude45,original,5201,julia,0.6666666666666666,0.6,0.9333333333333333,0.7321442233518527
claude45,original,5201,matt,0.4,1.0,0.4,0.3799489622552249
claude45,original,5201,tom,0.5,1.0,0.5,0.46211715726000974
claude45,original,3891,robert,1.0,1.0,1.0,0.7615941559557649
claude45,original,3891,val,,1.0,0.0,0.0
claude45,original,8551,__NO_ANNOTATION__,,,,
claude45,original,2926,charles,0.8,1.0,0.8,0.664036770267849
claude45,original,2926,jeff,0.8,0.8,1.0,0.7615941559557649
claude45,original,2926,jim,,0.8,0.0,0.0
claude45,original,2926,karen,0.5,1.0,0.5,0.46211715726000974
claude45,original,2926,teri,,,,
claude45,original,3230,emmanuelle,1.0,,0.0,0.0
claude45,original,3230,jean,1.0,0.5,0.5,0.46211715726000974
claude45,original,3230,tom,0.5,1.0,0.5,0.46211715726000974
claude45,original,3230,ving,,,,
claude45,original,733,gary,0.8333333333333334,0.8333333333333334,1.0,0.7615941559557649
claude45,original,733,jennifer,1.0,0.8,0.8,0.664036770267849
claude45,original,4173,heath,1.0,1.0,1.0,0.7615941559557649
claude45,original,4173,mel,0.8,0.75,0.95,0.7397830512740042
claude45,original,10408,ashton,1.0,1.0,1.0,0.7615941559557649
claude45,original,10408,greta,1.0,1.0,1.0,0.7615941559557649
claude45,original,10408,jake,1.0,1.0,1.0,0.7615941559557649
claude45,original,10408,natalie,,,,
claude45,original,8154,angelina,0.75,0.75,1.0,0.7615941559557649
claude45,original,8154,fisher,1.0,1.0,1.0,0.7615941559557649
claude45,original,8154,jonny,1.0,1.0,1.0,0.7615941559557649
claude45,original,8154,matthew,1.0,1.0,1.0,0.7615941559557649
claude45,original,8154,renoly,1.0,1.0,1.0,0.7615941559557649
claude45,original,5265,alessandro,,,,
claude45,original,5265,amy,0.8,0.6,0.7999999999999999,0.6640367702678489
claude45,original,5265,bradley,,,,
claude45,original,5265,christian,0.75,0.5,0.75,0.6351489523872873
claude45,original,5265,louis,,,,
claude45,original,11340,brad,,1.0,0.0,0.0
claude45,original,11340,christoph,1.0,1.0,1.0,0.7615941559557649
claude45,original,11340,daniel,1.0,,0.0,0.0
claude45,original,10486,robert,1.0,0.75,0.75,0.6351489523872873
claude45,original,10486,val,,1.0,0.0,0.0
claude45,original,11541,__NO_ANNOTATION__,,,,
claude45,original,11543,__NO_ANNOTATION__,,,,
claude45,original,11457,__NO_ANNOTATION__,,,,
claude45,original,2702,ben,1.0,0.8,0.8,0.664036770267849
claude45,original,2702,cameron,,1.0,0.0,0.0
claude45,original,2702,lin,,,,
claude45,original,11260,colin,1.0,1.0,1.0,0.7615941559557649
claude45,original,11260,jamie,0.6666666666666666,0.8,0.8666666666666666,0.6996765874203054
claude45,original,11260,john,,1.0,0.0,0.0
claude45,original,1467,anthony,,1.0,0.0,0.0
claude45,original,1467,rosario,1.0,1.0,1.0,0.7615941559557649
claude45,original,9334,harrison,0.8333333333333334,1.0,0.8333333333333334,0.6822617902381697
claude45,original,6215,jason,,0.6666666666666666,0.0,0.0
