model,story_id,tc,ic,mcc_raw_char,MCC
human,6729,1.0,0.8333333333333333,0.2,0.15231883119115297
human,6847,0.8333333333333333,0.9166666666666666,0.47222222222222215,0.4059772992450658
human,6878,,0.6,0.0,0.0
human,6921,0.6349206349206349,0.6111111111111112,0.8650793650793651,0.6981502448769116
human,7065,0.9,0.8,0.9,0.7128154631118069
human,7150,0.9166666666666666,0.9333333333333332,0.9833333333333334,0.7543237877285113
human,7195,0.8,0.6666666666666666,0.4333333333333333,0.3498382937101527
human,7596,0.9166666666666667,0.7,0.6166666666666667,0.5311053762466973
human,7702,1.0,1.0,0.6666666666666666,0.5077294373038432
human,8061,0.7666666666666666,0.557142857142857,0.7904761904761904,0.6473461938029312
human,8085,0.8333333333333334,0.875,0.75,0.5711956169668236
human,8154,1.0,0.95,0.55,0.4316674528597634
human,8551,,,0.0,0.0
human,9334,0.8333333333333334,1.0,0.8333333333333334,0.6822617902381697
human,9418,0.9,0.75,0.5444444444444444,0.4433395888772948
human,9914,0.9,0.8,0.4666666666666666,0.4003621124219614
human,10408,1.0,1.0,0.75,0.5711956169668236
human,10486,1.0,0.875,0.875,0.6983715541715261
human,10499,0.75,0.75,0.3333333333333333,0.3080781048400065
human,11260,0.8333333333333333,0.9333333333333332,0.48888888888888893,0.4156065718719197
human,11340,1.0,1.0,0.3333333333333333,0.2538647186519216
human,11457,,,0.0,0.0
human,11541,,,0.0,0.0
human,11543,,,0.0,0.0
human,11678,0.8,1.0,0.26666666666666666,0.221345590089283
human,11719,0.875,0.625,0.75,0.6118556566078873
human,12358,,,0.0,0.0
human,12423,0.9,0.8666666666666667,0.6,0.47521030874120457
human,13596,,1.0,0.0,0.0
human,13683,1.0,0.8958333333333334,0.39583333333333337,0.3293526856563642
internvl3,345,1.0,0.9,0.9,0.7128154631118069
internvl3,515,0.7222222222222222,0.7222222222222222,0.75,0.626971730837418
internvl3,721,0.6666666666666666,1.0,0.6666666666666666,0.5774862095484998
internvl3,723,1.0,0.625,0.625,0.5545997223493823
internvl3,733,1.0,0.8166666666666667,0.8166666666666667,0.6731492802530094
internvl3,948,0.8222222222222223,0.7666666666666667,0.5666666666666667,0.47035666707542756
internvl3,1111,,,0.0,0.0
