model,prompt,story_id,mcc_raw,MCC
gpt4o,original,6111,0.6444444444444444,0.567918125437042
gpt4o,original,9914,1.0,0.7615941559557649
gpt4o,original,11543,,
gpt4o,original,1214,0.5,0.46211715726000974
gpt4o,original,5721,,
gpt4o,original,5047,,
gpt4o,original,948,0.85,0.6910694698329306
gpt4o,original,5201,0.775,0.6498274636719203
gpt4o,original,3230,0.5,0.46211715726000974
gpt4o,original,4047,,
gpt4o,original,4797,0.75,0.6351489523872873
gpt4o,original,11719,0.625,0.5545997223493823
gpt4o,original,8551,,
gpt4o,original,9418,0.611111111111111,0.5449087656143676
gpt4o,original,5062,,
gpt4o,original,7596,0.8333333333333333,0.6822617902381697
gpt4o,original,7702,0.3333333333333333,0.32151273753163434
gpt4o,original,5265,0.6499999999999999,0.5716699660851171
gpt4o,original,1111,,
gpt4o,original,9334,1.0,0.7615941559557649
gpt4o,original,2702,0.4,0.3799489622552249
gpt4o,original,5349,0.8,0.664036770267849
gpt4o,original,3295,0.9333333333333332,0.7321442233518526
gpt4o,large,10486,0.9583333333333333,0.7435325248149615
gpt4o,large,7065,1.0,0.7615941559557649
gpt4o,large,3230,0.95,0.7397830512740042
gpt4o,large,345,0.775,0.6498274636719203
gpt4o,large,5062,,
gpt4o,large,723,0.875,0.703905603936621
gpt4o,large,12423,0.9555555555555556,0.742287847898755
gpt4o,large,13683,0.4375,0.41157005567402244
gpt4o,large,6215,0.9511904761904761,0.74032153039976
gpt4o,large,6878,0.9333333333333333,0.7321442233518527
gpt4o,large,9418,0.8722222222222222,0.7025014261332673
gpt4o,large,10499,0.5,0.46211715726000974
gpt4o,large,8154,0.95,0.7397830512740042
gpt4o,large,1111,,
gpt4o,large,8551,,
gpt4o,large,13596,1.0,0.7615941559557649
gpt4o,large,3295,0.9333333333333332,0.7321442233518526
gpt4o,large,6921,0.7777777777777777,0.651429357642829
gpt4o,large,2926,0.52,0.477700012168498
gpt4o,large,8085,0.9583333333333334,0.7435325248149615
gpt4o,large,2400,0.9199999999999999,0.7258974148490807
gpt4o,large,11260,0.65,0.5716699660851172
gpt4o,large,1214,1.0,0.7615941559557649
gpt4o,large,948,0.8791666666666667,0.7060015981348917
gpt4o,large,4047,,
gpt4o,large,6111,0.9333333333333332,0.7321442233518526
gpt4o,large,2722,,
gpt4o,large,5721,,
gpt4o,large,5047,,
gpt4o,large,11678,0.6666666666666666,0.5827829453479101
gpt4o,large,721,0.9166666666666666,0.7243166860701286
gpt4o,large,3761,0.8999999999999999,0.7162978701990244
gpt4o,large,1201,,
gpt4o,large,2702,0.4,0.3799489622552249
gpt4o,large,11457,,
gpt4o,large,12358,,
gpt4o,large,7150,0.9833333333333334,0.7545052589201566
gpt4o,large,7596,0.9,0.7162978701990245
gpt4o,large,5265,0.6499999999999999,0.5716699660851171
gpt4o,large,3891,0.9,0.7162978701990245
gpt4o,large,9914,0.8999999999999999,0.7162978701990244
gpt4o,large,11340,0.4,0.3799489622552249
gpt4o,large,6847,0.9166666666666666,0.7243166860701286
gpt4o,large,7702,0.3333333333333333,0.32151273753163434
gpt4o,large,11541,,
gpt4o,large,4173,0.9464285714285714,0.7381619141422254
gpt4o,large,10408,1.0,0.7615941559557649
gpt4o,large,5540,,
gpt4o,large,9334,1.0,0.7615941559557649
gpt4o,large,8061,0.9182539682539682,0.7250703670792976
gpt4o,large,5349,0.8,0.664036770267849
gpt4o,large,4797,0.8333333333333333,0.6822617902381697
gpt4o,large,5201,0.775,0.6498274636719203
gpt4o,large,515,0.6666666666666666,0.5827829453479101
gpt4o,large,11719,0.725,0.619996867969374
gpt4o,large,1467,0.7,0.6043677771171634
gpt4o,large,733,1.0,0.7615941559557649
gpt4o,large,11543,,
gpt4o,large,6729,0.7857142857142858,0.6559743341284774
gpt4o,large,7195,0.3333333333333333,0.32151273753163434
internvl3,original,1111,,
internvl3,original,3761,0.8999999999999999,0.7162978701990244
internvl3,original,6847,0.9833333333333334,0.7545052589201566
internvl3,original,13596,1.0,0.7615941559557649
internvl3,original,8085,0.6607142857142857,0.5788385707841248
internvl3,original,6878,0.9333333333333333,0.7321442233518527
internvl3,original,1201,,
internvl3,original,515,0.75,0.6351489523872873
internvl3,original,11719,0.625,0.5545997223493823
internvl3,original,11543,,
internvl3,original,345,0.9,0.7162978701990245
internvl3,original,11340,0.5,0.46211715726000974
internvl3,original,12423,0.8333333333333334,0.6822617902381697
internvl3,original,5201,0.5945238095238096,0.5331413767668636
internvl3,original,723,0.625,0.5545997223493823
internvl3,original,9914,0.39999999999999997,0.37994896225522484
internvl3,original,2702,0.9,0.7162978701990245
internvl3,original,9418,0.5,0.46211715726000974
internvl3,original,8061,0.8779100529100529,0.7053707694272101
internvl3,original,9334,1.0,0.7615941559557649
internvl3,original,5265,0.55,0.5005202111902353
internvl3,original,4797,0.6666666666666666,0.5827829453479101
internvl3,original,5540,,
internvl3,original,948,0.41666666666666663,0.3941185679308145
internvl3,original,7150,0.5388888888888889,0.49214643621151577
internvl3,original,6921,0.3333333333333333,0.32151273753163434
internvl3,original,6111,0.5333333333333333,0.487924982649516
internvl3,original,2722,,
internvl3,original,12358,,
internvl3,original,7065,0.8,0.664036770267849
internvl3,original,7702,0.0,0.0
internvl3,original,11260,0.9,0.7162978701990245
internvl3,original,11457,,
internvl3,original,4173,0.7916666666666666,0.6593521627123083
internvl3,original,13683,0.7458333333333335,0.632656596704867
internvl3,original,7596,0.8,0.664036770267849
internvl3,original,733,0.8166666666666667,0.6732515209732411
internvl3,original,7195,0.3333333333333333,0.32151273753163434
internvl3,original,10408,1.0,0.7615941559557649
internvl3,original,5349,0.4666666666666667,0.43550211391548
internvl3,original,8154,0.6733333333333333,0.5871682693574662
internvl3,original,6215,0.7083333333333333,0.6096306459723195
internvl3,original,2926,0.5599999999999999,0.5079774328978961
internvl3,original,1467,0.65,0.5716699660851172
internvl3,original,5721,,
internvl3,original,1214,0.3333333333333333,0.32151273753163434
internvl3,original,3295,0.9333333333333332,0.7321442233518526
internvl3,original,5062,,
internvl3,original,11541,,
internvl3,original,4047,,
internvl3,original,10486,0.7916666666666666,0.6593521627123083
internvl3,original,3230,0.5,0.46211715726000974
internvl3,original,11678,1.0,0.7615941559557649
internvl3,original,8551,,
internvl3,original,3891,0.6527777777777778,0.5735369783249458
internvl3,original,6729,0.0,0.0
internvl3,original,5047,,
internvl3,original,10499,0.43333333333333335,0.40810325523432484
internvl3,original,2400,0.4766666666666667,0.44357008787541335
internvl3,original,721,0.6666666666666666,0.5827829453479101
internvl3,large,5062,,
internvl3,large,10499,0.5666666666666667,0.5129070584608084
internvl3,large,9914,0.4857142857142857,0.4508083015707553
internvl3,large,345,0.9,0.7162978701990245
internvl3,large,7195,0.3666666666666667,0.35107264597890847
internvl3,large,5349,0.7666666666666666,0.6449869945758523
internvl3,large,12423,0.9222222222222222,0.726946993247756
internvl3,large,1111,,
internvl3,large,2722,,
internvl3,large,10486,0.375,0.35835739835078595
internvl3,large,6847,0.8250000000000001,0.6777821008468295
internvl3,large,515,0.6611111111111111,0.579102377598616
internvl3,large,6878,0.6,0.5370495669980352
internvl3,large,7065,0.8,0.664036770267849
internvl3,large,3891,0.375,0.35835739835078595
internvl3,large,13683,0.6708333333333333,0.5855277811098862
internvl3,large,3295,0.9166666666666666,0.7243166860701286
internvl3,large,13596,0.8571428571428571,0.694782670314738
internvl3,large,8154,0.5,0.46211715726000974
internvl3,large,12358,,
internvl3,large,1214,0.5,0.46211715726000974
internvl3,large,6111,0.7999999999999999,0.6640367702678489
internvl3,large,5201,0.5371428571428571,0.4908221709230501
internvl3,large,11457,,
internvl3,large,7702,0.0,0.0
internvl3,large,11340,0.5,0.46211715726000974
internvl3,large,5047,,
internvl3,large,6921,0.753968253968254,0.637510392144031
internvl3,large,6729,0.5,0.46211715726000974
internvl3,large,3230,0.4166666666666667,0.39411856793081457
internvl3,large,10408,0.6875,0.5963735554792423
internvl3,large,8551,,
internvl3,large,721,1.0,0.7615941559557649
internvl3,large,1201,,
internvl3,large,9418,0.2777777777777778,0.27084711851672144
internvl3,large,2400,0.6566666666666666,0.5761408171743869
internvl3,large,7596,0.8,0.664036770267849
internvl3,large,5721,,
internvl3,large,2926,0.6799999999999999,0.5915193954318164
internvl3,large,11719,0.625,0.5545997223493823
internvl3,large,11543,,
internvl3,large,3761,0.9,0.7162978701990245
internvl3,large,11260,0.8333333333333334,0.6822617902381697
internvl3,large,948,0.675,0.5882592563981054
internvl3,large,4797,0.3333333333333333,0.32151273753163434
internvl3,large,4047,,
internvl3,large,723,0.875,0.703905603936621
internvl3,large,9334,0.8571428571428571,0.694782670314738
internvl3,large,11678,0.5555555555555555,0.5046723977218567
internvl3,large,6215,0.0,0.0
internvl3,large,5540,,
internvl3,large,5265,0.4333333333333333,0.40810325523432484
internvl3,large,1467,0.8,0.664036770267849
internvl3,large,11541,,
internvl3,large,8061,0.9043650793650794,0.7184166648386217
internvl3,large,8085,0.5625,0.5098299737352565
internvl3,large,4173,0.675,0.5882592563981054
internvl3,large,733,0.8166666666666667,0.6732515209732411
internvl3,large,2702,0.9,0.7162978701990245
internvl3,large,7150,0.65,0.5716699660851172
llama4scout,original,5540,,
llama4scout,original,5201,0.125,0.12435300177159621
llama4scout,original,10408,0.3333333333333333,0.32151273753163434
llama4scout,original,2400,0.3,0.2913126124515909
llama4scout,original,6215,0.0,0.0
llama4scout,original,6921,0.0,0.0
llama4scout,original,5047,,
llama4scout,original,11543,,
llama4scout,original,12423,0.0,0.0
llama4scout,original,1467,0.0,0.0
llama4scout,original,733,0.8166666666666667,0.6732515209732411
llama4scout,original,5349,0.0,0.0
llama4scout,original,515,0.7962962962962963,0.6619611001698975
llama4scout,original,4173,0.0,0.0
llama4scout,original,10499,0.5,0.46211715726000974
llama4scout,original,2926,0.0,0.0
llama4scout,original,8551,,
llama4scout,original,9418,0.0,0.0
llama4scout,original,11678,0.0,0.0
llama4scout,original,7596,0.0,0.0
llama4scout,original,3761,0.0,0.0
llama4scout,original,7195,0.0,0.0
llama4scout,original,3891,0.0,0.0
llama4scout,original,721,0.0,0.0
llama4scout,original,4797,0.0,0.0
llama4scout,original,13683,0.6458333333333334,0.5688583124069128
llama4scout,original,11541,,
llama4scout,original,5062,,
llama4scout,original,1201,,
llama4scout,original,11260,0.7888888888888889,0.657779133687006
llama4scout,original,6111,0.0,0.0
llama4scout,original,7702,0.0,0.0
llama4scout,original,5721,,
llama4scout,original,4047,,
llama4scout,original,345,0.0,0.0
llama4scout,original,7065,0.0,0.0
llama4scout,original,3230,0.0,0.0
llama4scout,original,13596,0.0,0.0
llama4scout,original,2702,0.0,0.0
llama4scout,original,12358,,
llama4scout,original,723,0.0,0.0
