model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
human,large,11543,0.449821199067476,0.0,0.0,1.0
human,large,7702,0.71629333104403,0.5077294373038432,0.6099419557362923,0.8876591455103191
human,large,7065,0.3760734296318855,0.692920714716861,0.9510359174211251,0.49505666583230185
human,large,13596,0.6809542835897643,0.7615941559557649,0.807019282293604,0.7134212418124087
human,large,3230,0.4312725059155775,0.1549050221335884,0.3444926955323398,0.9923944800092338
human,large,11678,0.6193957593319385,0.3384862915358955,0.49787605199725676,0.9498161981035169
human,large,2722,0.630996979212811,0.0,0.0,1.0
human,large,10408,0.4443466033654747,0.5213230693883723,0.8253065206963954,0.6922920512478048
human,large,7596,0.4643300645219059,0.5972376984701825,0.8581373431896876,0.6512479714328485
human,large,1201,0.4291157059446081,0.0,0.0,1.0
human,large,3891,0.7943017662773761,0.4914698730225239,0.5502532873872378,0.9240674865609847
human,large,948,0.6755281405780967,0.5263463957052289,0.6522259042035662,0.8573957868068419
human,large,9914,0.7175659472777751,0.3482596681006262,0.45050581714752586,0.9680575737244153
human,large,1467,0.2338492919831192,0.4866552367090969,0.9693288895070283,0.446662781672361
human,large,4797,0.7316260091097954,0.3807970779778824,0.47807078006603615,0.9580244071696626
human,large,6847,0.7419285834119327,0.6330273983218985,0.6927472888362542,0.8249225923580882
human,large,11457,0.7019670240925976,0.0,0.0,1.0
human,large,12358,0.5625876687916175,0.0,0.0,1.0
human,large,11719,0.3283520378730162,0.5486330548236485,0.9316664017846109,0.5359750381509336
human,large,6215,0.628303088215015,0.5689717397314691,0.7189986584854721,0.8020304954669109
human,large,6729,0.358679862510378,0.3982163596289351,0.8041428941957715,0.7166463327159011
human,large,9418,0.428290924457643,0.4509478835857982,0.7829315867325606,0.7396730261987543
human,large,5062,0.8359041015579626,0.0,0.0,1.0
human,large,11340,0.5955474674251724,0.4231078644198693,0.610960158255537,0.8869737299403897
human,large,4173,0.8160137634716272,0.3682056699663006,0.42290529022155005,0.976506911209081
human,large,4047,0.5480426168208434,0.0,0.0,1.0
human,large,5201,0.2985531581824077,0.5338270633181962,0.945554058933028,0.507435172103723
human,large,721,0.4891248949101476,0.5419916342314177,0.8033841834986294,0.7174927858638256
human,large,723,0.7466305432170807,0.5545997223493823,0.6308359300928031,0.8731655456585857
human,large,1111,0.78135652283252,0.0,0.0,1.0
human,large,5721,0.527977033034461,0.0,0.0,1.0
human,large,8154,0.4221044673560713,0.4197467054859064,0.7592382849433278,0.7639431130256392
human,large,345,0.7545762685070891,0.6917412625170607,0.7243458782314042,0.7971830611390524
